Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2020:Q2,White,105311636,28769726,24278834,4490892,76541909,9879245,2602872,3373175,3254341,118834,959698,897011,62687,24429883,1438435,1831984,6753991,13537517,10741432,993677,11057366,11027445,7596950,2669660,232561,528274,29920,94254270,84416835
2020:Q2,Black,6064199,2047040,1675462,371578,4017159,445358,34075,45935,45342,593,21356,20775,581,284304,149922,280154,494829,1886568,253717,120940,1324038,1320784,710910,593062,10281,6531,3254,4740161,17760045
2020:Q2,Hispanic,3575920,1811920,1457962,353958,1764000,283394,17530,22765,22431,335,2325,720,1605,147376,38747,104915,244117,601256,230981,70594,999511,998613,685484,292074,15783,5272,898,2576409,12157197
2020:Q2,Other,12451704,4328777,3849601,479176,8122927,1275644,146093,247590,242762,4828,118121,105280,12841,2525801,200278,181426,887448,1258913,1144362,137251,2088265,2083874,1483752,542595,19637,37889,4392,10363439,14955051
2020:Q3,White,109211702,29519209,24906307,4612901,79692493,10158783,2451642,3228998,3228998,0,923419,861389,62030,26673536,1470680,1903048,7120566,13620469,11116384,1024967,11235334,11205673,7702650,2700444,224271,578307,29661,97976368,84747153
2020:Q3,Black,6158172,2099591,1708928,390663,4058581,437302,34880,44232,44232,0,21006,20460,546,292371,149851,289471,516869,1879835,267035,125728,1339937,1336811,714378,603598,8981,9854,3126,4818235,17554844
2020:Q3,Hispanic,3638475,1843041,1482541,360499,1795434,288403,17592,22720,22720,0,1662,315,1347,164195,39930,105610,250877,598331,234713,71402,1005118,1004236,691095,290480,14343,8317,882,2633357,12118379
2020:Q3,Other,12897836,4432270,3930419,501851,8465566,1288395,138723,250032,250032,0,115940,102313,13627,2761462,205527,197340,935234,1276615,1155413,140886,2128628,2124244,1516308,548183,18844,40908,4385,10769208,15084724
2020:Q4,White,116372904,30401641,25677895,4723746,85971263,10828886,2361691,3269397,3269397,0,948443,887308,61135,31058930,1516628,1965573,7763775,13797401,11423520,1037018,11442365,11413468,7808076,2731871,227543,645977,28897,104930540,85087367
2020:Q4,Black,6321467,2160426,1754835,405591,4161040,433661,35537,43729,43729,0,25563,25054,509,315752,150915,296575,571815,1883699,276905,126889,1349920,1347008,707735,615676,9575,14022,2912,4971547,17328646
2020:Q4,Hispanic,3747036,1883138,1516781,366357,1863898,306223,17797,23269,23269,0,1603,490,1113,193500,41709,105958,267079,599524,236187,71049,1001127,1000283,689718,284751,13624,12191,844,2745909,12089999
2020:Q4,Other,13657293,4557203,4034711,522492,9100089,1320983,133627,262895,262895,0,117951,103618,14332,3209795,212501,212223,1017112,1311512,1159240,142251,2168847,2164535,1546669,552556,20944,44366,4312,11488446,15216032
2021:Q1,White,120826506,31521378,26706246,4815132,89305128,11635077,2446326,2726855,2726855,0,954724,892237,62487,33373065,1524075,1956162,8004554,13904389,11734506,1045395,11573144,11542616,7899229,2723569,225029,694789,30528,109253363,85437228
2021:Q1,Black,6380293,2224510,1802659,421851,4155784,430666,36619,37289,37289,0,28078,27569,509,322518,147816,291118,574145,1874224,286139,127172,1342516,1339422,700053,613208,9228,16933,3094,5037778,17080991
2021:Q1,Hispanic,3844280,1942710,1572569,370141,1901570,328490,18644,20916,20916,0,1396,470,927,210525,41871,102949,269873,598479,237899,70527,997516,996599,688799,280088,12666,15045,917,2846764,12073260
2021:Q1,Other,14148423,4734090,4189833,544256,9414333,1359787,135335,220886,220886,0,118623,103539,15085,3457390,214752,217377,1050539,1333509,1162961,143173,2198610,2194058,1574721,550354,21527,47457,4551,11949813,15348939
2021:Q2,White,126757577,33488614,28438940,5049674,93268963,11750633,2434656,2597055,2550234,46821,972928,909671,63257,36031077,1555600,2005527,8426368,14035958,12406675,1052485,12052630,12022671,8215787,2869649,223050,714184,29959,114704947,85796490
2021:Q2,Black,6555763,2364133,1899885,464248,4191629,418548,37226,34824,34507,317,31285,30786,499,330880,146895,294740,596947,1864921,308370,126993,1412994,1410087,729810,653231,8960,18085,2908,5142768,16811416
2021:Q2,Hispanic,4009900,2065286,1679900,385385,1944614,328576,19117,20310,20161,149,1304,556,748,229587,43087,102849,278942,598951,251899,69992,1037546,1036657,723611,284839,11806,16400,889,2972354,12069369
2021:Q2,Other,14876573,5041219,4451099,590120,9835354,1363386,133369,214630,211572,3057,120203,104411,15792,3741097,220006,230679,1106447,1359977,1201627,143932,2307045,2302541,1652961,577465,22198,49916,4504,12569528,15483408
2021:Q3,White,129642973,35006191,29781328,5224863,94636783,11938462,2376424,2687418,2568602,118816,1010352,946232,64120,36301655,1571955,2024443,8405988,14121170,13126512,1072403,12277756,12247761,8363463,2923153,229943,731202,29995,117365217,86164906
2021:Q3,Black,6610829,2466087,1977627,488459,4144742,406828,37469,34446,33824,622,35689,35198,491,321773,144243,292822,565863,1845907,331090,128613,1436016,1433198,743038,661223,9915,19022,2818,5174812,16519458
2021:Q3,Hispanic,4121673,2158904,1762159,396745,1962769,331311,19385,20883,20511,372,1382,799,583,234749,43700,101406,273727,598258,267651,70317,1063438,1062547,745317,288197,11393,17639,891,3058235,12079531
2021:Q3,Other,15262579,5284004,4660454,623550,9978575,1370443,129634,226035,219794,6241,123206,106720,16487,3789315,223396,239898,1108320,1377741,1244358,146227,2367931,2363396,1698370,587613,25069,52344,4535,12894648,15619403
2021:Q4,White,133096305,35780091,30367337,5412754,97316213,12442775,2464818,2391026,2373835,17190,1026178,961288,64889,37653778,1587909,2027392,8778211,14275054,13583436,1085636,12530093,12499898,8524018,2988214,254402,733265,30195,120566212,86542230
2021:Q4,Black,6657891,2520145,2009435,510710,4137746,398097,38220,30968,30844,124,38048,37568,480,319724,141335,287884,579521,1832654,342466,128831,1461453,1458702,754335,671808,13462,19097,2751,5196439,16204656
2021:Q4,Hispanic,4213130,2209634,1799940,409695,2003496,344546,20280,19584,19527,57,1282,853,428,246426,44344,99320,281786,600900,274721,70307,1088651,1087751,768135,289782,11685,18149,900,3124479,12104950
