Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2012:Q4,TopPt1,10,4.3,3.6,7.3,12.3,9.5,10.8,24.7,25.1,23.5,16.6,16.5,17.9,21.8,8.3,0.8,1.7,0.6,22.9,2.5,0.7,0.7,0.4,0.5,7,4.6,4.9,11.8,121219,
2012:Q4,RemainingTop1,15.6,9.8,10.5,7.1,17.9,14.7,22.5,24,23.8,24.6,45.9,48.7,23.9,26.1,17.6,10.6,11.8,6.8,24,6.3,3.7,3.7,3.4,1.5,5.4,21.9,17.3,17.8,1089866,
2012:Q4,Next9,36.1,28.6,30.5,21.2,39.1,37.4,44.4,34.3,35.3,31.6,29.3,28.9,32.8,37,30,54.1,38,46.7,35.3,22.8,19.1,19.1,21.8,7.9,16.1,35.7,31,39.3,10910431,
2012:Q4,Next40,31.9,41.6,41.8,40.9,28.1,33.6,20.9,16.1,14.9,19.4,7.7,5.9,21.6,14.3,35.8,32.9,42.5,44.3,16.1,48.6,40.6,40.6,44.5,33,19.4,15.9,37.8,30.3,48478953,
2012:Q4,Bottom50,6.4,15.6,13.6,23.6,2.6,4.8,1.3,0.9,0.9,1,0.5,0,3.8,0.8,8.3,1.7,5.9,1.7,1.8,19.8,35.9,35.9,29.8,57.2,52.1,21.9,9.1,0.7,60629650,
2013:Q1,TopPt1,10.3,4.4,3.6,7.6,12.6,9.6,10.1,24.1,24.4,23,16.5,16.2,18.5,22.4,8.3,0.5,1.8,0.4,23.4,2.5,0.6,0.6,0.4,0.4,6.4,4.3,5,12,121603,
2013:Q1,RemainingTop1,15.7,10,10.7,7.2,17.9,14.8,22.8,24.1,24,24.7,46.5,49.4,24.1,26,18.2,10.7,11.6,6.8,23.6,6.3,3.9,3.8,3.7,1.4,4.2,21.9,18.3,17.9,1094002,
2013:Q1,Next9,36.2,28.7,30.7,20.9,39.1,37.1,45,35,35.7,32.7,29,28.7,31.8,36.8,30,54.6,37.5,46.8,35.6,22.7,18.8,18.8,21.3,7.6,16,36.5,31,39.4,10951105,
2013:Q1,Next40,31.7,41.6,41.9,40.7,27.8,33.7,20.8,15.9,15,18.6,7.5,5.7,21.5,14,35.2,32.5,43.4,44.2,15.8,48.8,40.5,40.5,44.7,32.5,18.8,15.4,36.7,30.1,48658001,
2013:Q1,Bottom50,6.2,15.3,13.2,23.6,2.6,4.8,1.3,0.9,0.9,1,0.5,0,4.1,0.8,8.3,1.7,5.8,1.7,1.7,19.7,36.2,36.3,30,58.1,54.6,22,8.9,0.6,60855634,
2013:Q2,TopPt1,10.3,4.5,3.7,7.7,12.6,9.7,9.6,23.2,23.5,22.1,16.9,16.6,19.2,22.5,8.4,0.3,1.8,0.3,24.2,2.5,0.6,0.6,0.4,0.4,5.8,4,5.2,12,121980,
2013:Q2,RemainingTop1,15.6,10,10.7,7.3,17.8,14.8,23,24.3,24.2,24.6,43.6,46,24.4,25.9,18.7,11,11.5,6.8,23.1,6.3,3.9,3.8,3.7,1.3,3.2,22.1,19.9,17.7,1098003,
2013:Q2,Next9,36.2,28.7,30.6,20.9,39.2,36.8,45.4,36,36.2,35.4,31,31,30.8,36.8,30,54.5,36.9,47,35.9,22.5,18.9,18.9,21.5,7.8,15.9,37.3,31,39.4,10990433,
2013:Q2,Next40,31.8,41.6,41.8,40.5,27.9,33.8,20.6,15.5,15.1,17,8,6.3,21.3,14.1,34.7,32.6,44.1,44.1,15.4,49,40.7,40.7,45,32.6,18.3,14.7,35.2,30.2,48831516,
2013:Q2,Bottom50,6.2,15.2,13.2,23.6,2.6,4.8,1.3,0.9,0.9,0.9,0.5,0,4.3,0.8,8.2,1.7,5.7,1.8,1.5,19.6,35.9,36,29.5,58,56.8,21.9,8.7,0.8,61073955,
2013:Q3,TopPt1,10.4,4.4,3.7,7.6,12.8,9.8,9.5,22.8,23,21.8,16.8,16.4,19.8,22.8,8.4,0.1,1.9,0.2,24.9,2.5,0.5,0.5,0.3,0.4,5.3,3.9,5.1,12.1,122347,26594246
2013:Q3,RemainingTop1,15.6,10.1,10.8,7.5,17.7,14.9,23.3,24.4,24.3,24.7,43.8,46.2,24.6,25.8,19.3,11,11.3,6.7,22.6,6.3,3.8,3.8,3.7,1.1,1.6,23,19.5,17.7,1101811,7564397
2013:Q3,Next9,36.2,28.6,30.4,21.1,39.2,36.5,45.6,36.5,36.6,36.1,31,31.1,29.9,36.7,30.1,55.1,36.3,47.2,36.1,22.4,19,19,21.6,7.8,15.8,38.1,31.1,39.2,11027808,1373099
2013:Q3,Next40,31.7,41.7,42,40.3,27.8,33.9,20.3,15.4,15.2,16.5,7.9,6.2,21.2,14,34.1,32.2,44.8,44.1,15,49.2,40.9,40.9,45.4,32.5,17.3,13.7,35.6,30.1,48996935,114520
2013:Q3,Bottom50,6.1,15.2,13.2,23.5,2.5,4.9,1.3,0.9,0.9,0.9,0.5,0,4.5,0.8,8.1,1.6,5.7,1.8,1.4,19.6,35.7,35.8,29,58.1,60,21.4,8.8,0.9,61281229,
2013:Q4,TopPt1,10.5,4.4,3.7,7.7,12.8,9.8,9.6,22,22.1,21.7,17.2,17,19.6,23,8.3,0.1,1.9,0.2,25.1,2.5,0.6,0.6,0.3,0.4,5.2,3.5,5.1,12.2,122702,
2013:Q4,RemainingTop1,15.7,10.1,10.8,7.5,17.8,15.3,22.9,24.6,24.5,24.7,41.4,43.5,23.9,26.1,19,10.2,11.4,6.5,23.2,6.3,3.9,3.9,3.8,1.3,3,19,19.6,17.7,1105379,
2013:Q4,Next9,36.3,28.6,30.4,20.9,39.3,36.4,45.6,36.7,36.8,36.2,32.7,32.8,31.5,36.5,30.2,56.5,36.8,47.7,35.5,22.4,19,19,21.5,7.9,15.6,37.7,31.1,39.3,11062761,
2013:Q4,Next40,31.6,41.9,42.2,40.5,27.5,33.5,20.7,15.7,15.5,16.5,8.2,6.6,20.8,13.7,34.4,31.7,44.3,43.8,14.9,49.3,41,41.1,45.7,32.9,18.2,16.2,35.4,29.9,49152259,
2013:Q4,Bottom50,6,14.9,12.9,23.5,2.5,4.8,1.3,1,1,0.9,0.5,0,4.1,0.8,8.1,1.5,5.6,1.7,1.4,19.6,35.4,35.5,28.7,57.5,58.1,23.6,8.8,0.9,61474833,
2014:Q1,TopPt1,10.6,4.5,3.7,8,13,9.9,9.5,21.7,21.7,21.5,17.8,17.6,19.4,23.1,8.2,0.1,2,0.3,25,2.4,0.6,0.6,0.4,0.4,5.2,3.4,5.1,12.3,123044,
2014:Q1,RemainingTop1,15.8,10.2,10.9,7.4,18,15.7,22.5,24.6,24.6,24.6,38.4,40.1,23.2,26.3,18.7,9.6,11.5,6.2,23.9,6.3,4,4,3.9,1.3,3.8,18.2,19.7,17.9,1108712,
2014:Q1,Next9,36.4,28.7,30.6,20.5,39.3,36.3,45.6,36.9,37,36.7,34.8,35,33.1,36.4,30.2,57.3,37.1,48.1,34.9,22.4,19,19,21.5,7.7,15.2,37.7,31.1,39.3,11095364,
