Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2016:Q2,Bottom50,5.4,13.1,11,23.1,2.3,4.6,1.1,0.9,0.9,0.8,0.2,0.2,0.9,0.7,8.3,1.2,5.2,1.5,1.3,19.3,32.5,32.6,24.7,54.9,37.6,24.3,9,1.2,62878246,
2016:Q3,TopPt1,11,4.7,3.7,9.5,13.6,10.3,8.5,18.7,18.7,16.9,20.6,20.8,17.8,23.6,7,0.6,2.8,0.5,26.3,2.2,0.7,0.7,0.5,0.5,4.8,3.5,4.3,12.6,126017,33960825
2016:Q3,RemainingTop1,16.4,10.5,11.3,6.7,18.7,18.8,18.1,24.9,24.9,22.8,28.4,29.4,17.2,28.1,16.3,3.8,12.3,4,28.2,6.5,4.7,4.7,4.6,2.2,21.7,16,16.4,18.2,1133335,8721304
2016:Q3,Next9,36.4,28.4,30.5,18.7,39.6,35.5,46.6,38.3,38.2,48.9,42.9,42.5,47.3,35.5,30.9,64.5,40,51.5,30.3,22.5,18.1,18,21,7.7,10.2,38.4,31.4,39.2,11337832,1549211
2016:Q3,Next40,30.8,43.1,43.2,42.2,25.8,30.7,25.7,17.2,17.3,10.7,7.9,7,17.1,12.2,37.5,29.9,39.8,42.5,13.9,49.5,44.3,44.3,49.5,35,28.6,17.4,38.8,28.7,50393119,123885
2016:Q3,Bottom50,5.5,13.3,11.3,22.9,2.3,4.6,1.1,0.9,0.9,0.8,0.2,0.2,0.7,0.7,8.3,1.1,5.1,1.4,1.3,19.3,32.3,32.3,24.4,54.6,34.6,24.7,9.1,1.3,62991441,
2016:Q4,TopPt1,10.9,4.7,3.7,9.2,13.5,10.1,7.8,18.2,18.2,NA,21.2,21.6,17.5,23.4,7.2,0.6,2.7,0.5,26.4,2.2,0.7,0.7,0.5,0.5,4.5,4.2,4.1,12.5,126293,
2016:Q4,RemainingTop1,16.4,10.5,11.3,6.6,18.7,18.3,18.6,24.9,24.9,NA,30.9,32.1,17.1,28.3,16.6,3.9,12,4,27.9,6.4,4.7,4.7,4.6,2.1,20.2,16.9,15.7,18.2,1135342,
2016:Q4,Next9,36.4,28.5,30.4,19,39.6,35.7,46.8,38.4,38.4,NA,40.2,39.6,46.8,35.5,30.7,64.2,40.4,51.4,30.5,22.5,18,18,21.1,7.7,9.8,36.4,31.3,39.3,11358258,
2016:Q4,Next40,30.9,43.2,43.4,42.2,25.8,31.1,25.8,17.5,17.5,NA,7.6,6.6,18,12.1,37.2,30.1,39.7,42.6,13.9,49.3,44.3,44.3,49.5,35.1,29,18.2,39.7,28.8,50484716,
2016:Q4,Bottom50,5.5,13.1,11.1,23,2.3,4.7,1.1,0.9,0.9,NA,0.2,0.2,0.7,0.7,8.3,1.2,5.2,1.4,1.3,19.5,32.3,32.3,24.2,54.7,36.5,24.3,9.2,1.3,63104246,
2017:Q1,TopPt1,10.9,4.7,3.8,9.1,13.5,10.1,7,17.9,17.9,NA,22.1,22.6,17.2,23.3,7.4,0.5,2.5,0.5,26.5,2.2,0.7,0.7,0.5,0.5,4.2,4.7,4.4,12.5,126567,
2017:Q1,RemainingTop1,16.4,10.5,11.3,6.5,18.8,17.9,19,24.9,24.9,NA,30.9,32.2,17,28.6,17,3.9,11.7,4.1,27.6,6.4,4.7,4.6,4.7,2,18.6,16.9,16.8,18.2,1137327,
2017:Q1,Next9,36.5,28.6,30.5,19.2,39.7,35.9,47,38.6,38.6,NA,38.9,38.2,46.2,35.6,30.5,64.5,40.7,51.4,30.7,22.7,18.1,18,21.3,7.4,9.4,34.5,31.2,39.3,11378615,
2017:Q1,Next40,30.8,43.2,43.4,42.2,25.7,31.5,26,17.7,17.7,NA,7.8,6.8,18.9,11.9,36.9,29.9,39.8,42.6,13.8,49.1,44.3,44.3,49.6,34.8,29.2,19.5,38.7,28.7,50575590,
2017:Q1,Bottom50,5.4,13,11,23,2.3,4.7,1,0.9,0.9,NA,0.2,0.2,0.7,0.7,8.2,1.2,5.3,1.5,1.4,19.5,32.3,32.3,23.9,55.3,38.6,24.5,9.1,1.3,63216839,
2017:Q2,TopPt1,11,4.6,3.8,8.9,13.6,9.8,6.3,17.7,17.7,NA,22.8,23.4,16.8,23.1,7.5,0.5,2.4,0.5,26.9,2.2,0.7,0.7,0.5,0.5,3.6,5.1,4.5,12.5,126840,
2017:Q2,RemainingTop1,16.4,10.4,11.2,6.5,18.9,17.4,19.4,24.7,24.7,NA,32.6,34.1,16.9,28.8,17.3,3.9,11.5,4.1,27.1,6.4,4.7,4.6,4.7,1.9,17.7,16.9,17.2,18.2,1139291,
2017:Q2,Next9,36.5,28.6,30.5,19.4,39.7,36.2,47.1,38.8,38.8,NA,36.6,35.8,45.6,35.6,30.3,64.7,41.1,51.4,31,22.8,18.1,18.1,21.5,7.3,9.2,32.6,31,39.3,11398902,
2017:Q2,Next40,30.6,43.2,43.4,42.2,25.5,31.7,26.1,17.9,17.9,NA,7.7,6.6,19.9,11.8,36.6,29.8,39.7,42.6,13.6,49,44.3,44.3,49.6,34.8,30.2,20.7,38.3,28.5,50665779,
2017:Q2,Bottom50,5.4,13.1,11.1,23.1,2.3,4.7,1,0.9,0.9,NA,0.2,0.1,0.8,0.7,8.2,1.2,5.3,1.5,1.4,19.6,32.2,32.2,23.7,55.5,39.2,24.6,9,1.4,63329196,
2017:Q3,TopPt1,11,4.6,3.8,8.6,13.5,9.7,6.3,17.3,17.3,NA,23.6,24.2,16.5,22.9,7.7,0.4,2.3,0.4,27.1,2.3,0.7,0.7,0.5,0.5,3.3,5.7,4.5,12.5,127111,
2017:Q3,RemainingTop1,16.5,10.4,11.2,6.4,18.9,17,20,24.7,24.7,NA,34.3,35.9,16.8,29,17.7,3.9,11.2,4.1,26.7,6.4,4.6,4.6,4.7,1.8,16.3,17.2,17.4,18.2,1141236,
2017:Q3,Next9,36.6,28.7,30.4,19.8,39.8,36.5,46.9,39,39,NA,34.3,33.4,44.8,35.7,30.2,64.8,41.4,51.3,31.2,22.8,18.1,18,21.7,7.2,8.8,30.8,30.9,39.3,11419115,
2017:Q3,Next40,30.6,43.2,43.4,42.1,25.5,32,25.9,18.1,18.1,NA,7.6,6.3,21,11.7,36.3,29.7,39.8,42.7,13.6,48.8,44.3,44.3,49.5,34.7,30.5,21.8,38.2,28.5,50755323,
2017:Q3,Bottom50,5.4,13.1,11.2,23.1,2.3,4.8,0.9,0.9,0.9,NA,0.2,0.1,0.8,0.7,8.1,1.3,5.4,1.5,1.4,19.8,32.2,32.3,23.5,55.8,41.1,24.6,9,1.4,63441293,
2017:Q4,TopPt1,11,4.5,3.8,8.2,13.6,9.6,6.4,17,17,NA,24.1,24.9,16.1,22.9,7.9,0.3,2.1,0.4,27.2,2.3,0.8,0.7,0.5,0.5,2.9,6,4.5,12.5,127379,
2017:Q4,RemainingTop1,16.5,10.4,11.2,6.4,19,16.6,20.5,24.7,24.7,NA,38.1,40.2,16.7,29.2,18,3.9,10.9,4.1,26.4,6.3,4.6,4.6,4.8,1.7,15.2,16.9,17.5,18.3,1143167,
2017:Q4,Next9,36.6,28.7,30.3,20.1,39.8,36.7,46.6,39.2,39.2,NA,30.6,29.3,44,35.8,30,65,41.7,51.3,31.5,22.9,18.1,18.1,21.9,7.2,8.6,29.4,30.8,39.3,11439251,
2017:Q4,Next40,30.4,43.3,43.5,42.1,25.3,32.3,25.6,18.3,18.3,NA,7,5.5,22.2,11.5,35.9,29.5,39.8,42.7,13.5,48.6,44.3,44.3,49.5,34.8,31.1,22.9,38.1,28.4,50844263,
2017:Q4,Bottom50,5.4,13.2,11.2,23.1,2.3,4.8,0.9,0.9,0.9,NA,0.2,0.1,0.9,0.7,8.1,1.3,5.4,1.5,1.4,19.8,32.2,32.3,23.3,55.8,42.3,24.9,9,1.5,63553105,
2018:Q1,TopPt1,10.9,4.5,3.8,8.1,13.5,9.5,5.6,16.7,16.7,NA,24.9,25.7,15.7,22.6,8.1,0.3,2.1,0.4,27.4,2.3,0.8,0.8,0.5,0.5,2.5,6.4,4.9,12.4,127643,
2018:Q1,RemainingTop1,16.5,10.4,11.2,6.3,19,16.1,21,24.5,24.5,NA,39.8,42,16.6,29.5,18.4,3.9,10.7,4.1,26,6.3,4.6,4.6,4.8,1.6,14.2,16.9,19,18.2,1145083,
2018:Q1,Next9,36.6,28.7,30.4,20.3,39.8,36.8,46.8,39.4,39.4,NA,28.3,26.9,43.2,35.8,29.9,64.8,42.2,51.2,31.7,23,18.1,18.1,22.1,6.9,8.4,27.8,30.7,39.3,11459308,
2018:Q1,Next40,30.5,43.3,43.5,42.1,25.3,32.7,25.8,18.5,18.5,NA,6.9,5.3,23.6,11.5,35.6,29.6,39.6,42.7,13.4,48.4,44.3,44.3,49.5,34.5,31.8,23.9,36.6,28.5,50932638,
2018:Q1,Bottom50,5.5,13.1,11.1,23.2,2.4,4.9,0.9,0.9,0.9,NA,0.2,0.1,0.9,0.6,8.1,1.3,5.5,1.5,1.5,19.9,32.2,32.3,23.1,56.5,43.2,25,8.8,1.5,63664609,
2018:Q2,TopPt1,10.9,4.5,3.8,7.9,13.5,9.3,5.3,16.6,16.6,NA,25.6,26.6,15.2,22.4,8.3,0.3,1.9,0.4,27.6,2.3,0.8,0.8,0.5,0.5,1.8,6.9,4.9,12.4,127905,
2018:Q2,RemainingTop1,16.5,10.3,11.1,6.2,19,15.7,21.5,24.4,24.4,NA,41,43.3,16.5,29.7,18.7,3.9,10.5,4.2,25.7,6.3,4.6,4.6,4.8,1.6,13.9,17.4,19.1,18.3,1146990,
2018:Q2,Next9,36.7,28.8,30.4,20.6,39.9,37.1,46.7,39.6,39.6,NA,26.3,24.8,42.2,35.8,29.7,64.8,42.5,51.2,31.9,23.1,18.1,18.1,22.3,6.9,8.4,25.9,30.6,39.4,11479283,
2018:Q2,Next40,30.4,43.2,43.4,42.1,25.3,32.9,25.6,18.6,18.6,NA,6.9,5.2,25.2,11.4,35.3,29.6,39.6,42.8,13.3,48.3,44.3,44.3,49.5,34.5,32.9,24.9,36.6,28.4,51020488,
2018:Q2,Bottom50,5.5,13.2,11.3,23.2,2.4,4.9,0.8,0.8,0.8,NA,0.2,0.1,1,0.6,8,1.4,5.5,1.5,1.5,20,32.1,32.2,22.9,56.6,43,24.8,8.8,1.6,63775780,
2018:Q3,TopPt1,10.9,4.4,3.8,7.7,13.5,9.1,4.8,16.5,16.5,NA,26.4,27.4,14.7,22.3,8.5,0.2,1.8,0.4,27.7,2.3,0.8,0.8,0.5,0.5,1.5,7.5,5.1,12.4,128162,
2018:Q3,RemainingTop1,16.6,10.3,11.1,6.1,19.1,15.3,22,24.2,24.2,NA,41.9,44.3,16.3,29.9,19,4,10.2,4.2,25.4,6.3,4.6,4.6,4.8,1.5,12.7,17.7,19.7,18.3,1148887,
2018:Q3,Next9,36.8,28.8,30.3,20.8,40,37.5,46.8,39.8,39.8,NA,24.6,23.1,41,35.9,29.6,64.8,42.8,51.2,32.1,23.2,18.1,18.1,22.4,6.8,8.1,24.2,30.5,39.5,11499172,
2018:Q3,Next40,30.3,43.2,43.5,42.1,25.1,33.2,25.7,18.7,18.7,NA,7,5.2,26.9,11.2,35,29.6,39.6,42.8,13.3,48.1,44.3,44.3,49.5,34.4,33.2,25.9,36.1,28.2,51107852,
2018:Q3,Bottom50,5.5,13.2,11.3,23.3,2.4,4.9,0.8,0.8,0.8,NA,0.2,0.1,1,0.6,8,1.4,5.6,1.5,1.5,20.1,32.2,32.2,22.7,56.9,44.4,24.8,8.7,1.6,63886593,
2018:Q4,TopPt1,10.4,4.3,3.8,7.3,13,9,5.6,16.4,16.4,NA,27,28.3,14.1,21.5,8.6,0.3,1.8,0.3,27.8,2.3,0.8,0.8,0.5,0.5,0.9,8.3,5,11.9,128414,
2018:Q4,RemainingTop1,16.3,10.2,11,6.1,18.9,14.9,22.5,24,24,NA,44.5,47.1,16.2,30.7,19.3,4.1,10,4.2,25.1,6.3,4.6,4.6,4.9,1.4,12.7,18.7,19.3,18.1,1150779,
2018:Q4,Next9,36.7,28.7,30.2,21.3,40.2,37.7,46.1,40,40,NA,21.6,19.9,39.7,35.9,29.3,63.8,43.6,51.1,32.3,23.3,18.1,18,22.6,6.7,8.2,21.6,30.4,39.6,11518974,
2018:Q4,Next40,30.9,43.4,43.6,42.1,25.6,33.5,25,18.9,18.9,NA,6.7,4.7,28.9,11.4,34.8,30.3,38.9,42.8,13.2,47.9,44.4,44.4,49.5,34.5,34.4,27,36.7,28.9,51194771,
2018:Q4,Bottom50,5.7,13.3,11.4,23.3,2.4,4.9,0.8,0.7,0.7,NA,0.2,0.1,1.1,0.5,8,1.5,5.6,1.5,1.6,20.2,32.1,32.2,22.5,56.9,43.7,24.4,8.8,1.6,63997025,
2019:Q1,TopPt1,10.8,4.4,3.8,7.5,13.4,8.9,6,16.3,16.3,NA,27.8,29.1,13.3,21.9,8.8,0.2,1.6,0.3,28,2.3,0.8,0.8,0.5,0.5,0.9,9,5.2,12.2,128661,
2019:Q1,RemainingTop1,16.6,10.3,11.1,5.9,19.1,14.5,23,23.8,23.8,NA,45.5,48.2,16,30.5,19.7,4,9.8,4.2,24.7,6.3,4.6,4.6,4.9,1.3,10.8,19.2,20.1,18.3,1152667,
2019:Q1,Next9,36.9,28.9,30.4,21.1,40.1,37.8,45.6,40.2,40.2,NA,19.7,18,38.3,36,29.2,64.5,43.7,51.1,32.6,23.4,18.1,18,22.7,6.5,7.6,19.4,30.2,39.6,11538684,
2019:Q1,Next40,30.3,43.4,43.6,42,25.1,33.8,24.6,19,19,NA,6.9,4.6,31.2,11.1,34.4,29.8,39.3,42.9,13.1,47.8,44.4,44.4,49.5,34.3,34.1,28.2,35.8,28.3,51281284,
2019:Q1,Bottom50,5.5,13.1,11.1,23.4,2.4,5,0.7,0.7,0.7,NA,0.2,0.1,1.2,0.6,7.9,1.5,5.7,1.5,1.6,20.3,32.1,32.2,22.3,57.5,46.6,24.3,8.7,1.6,64107052,
2019:Q2,TopPt1,10.8,4.4,3.8,7.4,13.4,8.7,5.2,16.3,16.3,NA,28.5,29.9,12.5,21.7,8.9,0.1,1.5,0.3,28.3,2.3,0.8,0.8,0.5,0.5,0.5,9.4,5.1,12.3,128903,
2019:Q2,RemainingTop1,16.6,10.2,11.1,5.9,19.2,14.1,23.5,23.5,23.5,NA,45.6,48.2,15.7,30.6,20,4,9.5,4.3,24.3,6.3,4.6,4.6,5,1.2,10.1,19.3,20,18.3,1154554,
2019:Q2,Next9,36.9,29,30.5,21.2,40.1,38.2,45.9,40.4,40.4,NA,18.6,17,36.6,36,29.1,64.8,43.9,50.7,32.8,23.5,18,18,22.8,6.4,7.5,17.9,30.1,39.6,11558301,
2019:Q2,Next40,30.2,43.3,43.5,42,25,34.1,24.8,19.2,19.2,NA,7.2,4.8,33.9,11,34.1,29.6,39.3,43.2,13,47.6,44.4,44.4,49.5,34.3,34.7,29.1,36.1,28.2,51367431,
2019:Q2,Bottom50,5.4,13.1,11.2,23.5,2.4,5,0.7,0.6,0.6,NA,0.2,0.1,1.3,0.6,7.9,1.5,5.7,1.6,1.6,20.4,32.2,32.2,22.2,57.6,47.2,24.3,8.7,1.6,64216648,
2019:Q3,TopPt1,10.7,4.3,3.8,6.9,13.3,8.5,6.5,15.9,15.9,NA,29.1,30.7,11.5,21.5,9.1,0,1.4,0.3,28.4,2.3,0.8,0.8,0.5,0.5,0.4,9.9,5.3,12.1,129139,38574605
2019:Q3,RemainingTop1,16.5,10.1,10.9,5.9,19.1,13.7,23.9,23.5,23.5,NA,44.9,47.5,15.5,31,20.3,4,9.3,4.3,24,6.3,4.6,4.6,5,1.1,8.7,19.6,20.5,18.2,1156443,10477312
2019:Q3,Next9,36.9,28.9,30.2,21.8,40.2,38.5,45,40.7,40.7,NA,18.1,16.6,34.6,36.1,28.9,64.9,44.3,50.4,33,23.6,18,17.9,22.9,6.4,7.1,16.1,30,39.6,11577821,1776366
2019:Q3,Next40,30.3,43.3,43.5,42,25,34.3,23.9,19.4,19.4,NA,7.7,5.2,37,10.9,33.8,29.5,39.2,43.5,12.9,47.4,44.4,44.4,49.5,34.2,34.7,30.1,35.5,28.3,51453252,160862
2019:Q3,Bottom50,5.6,13.5,11.6,23.5,2.4,5,0.7,0.6,0.6,NA,0.2,0.1,1.4,0.6,7.9,1.5,5.8,1.6,1.6,20.4,32.2,32.3,22.1,57.8,49,24.3,8.6,1.8,64325791,
2019:Q4,TopPt1,10.9,4.3,3.8,6.8,13.6,8.7,7.8,16,16,NA,29,30.2,14.9,21.9,9.3,0.3,1.4,0.4,28.3,2.3,0.9,0.8,0.5,0.5,0.7,9.8,5.4,12.3,129368,
2019:Q4,RemainingTop1,16.5,10,10.8,5.8,19,13.7,23.1,23.2,23.2,NA,43.6,46.1,14.7,30.2,20,4.3,9.5,4.4,24.1,6.2,4.6,4.6,4.9,1.2,11.1,20.2,20.1,18.2,1158335,
2019:Q4,Next9,36.7,28.8,30.1,22,39.8,38,44.5,40.6,40.6,NA,19,17.7,33.4,36.3,29.1,63.3,44.2,49.3,32.9,23.4,18,18,22.9,6.7,7.6,15.6,30.2,39.3,11597249,
2019:Q4,Next40,30.3,43.5,43.8,42.1,25.2,34.5,23.9,19.5,19.5,NA,8.2,5.8,35.8,11,33.8,30.5,39.2,44.3,13.1,47.6,44.4,44.4,49.6,34.3,33.4,29.4,35.7,28.4,51538813,
2019:Q4,Bottom50,5.5,13.4,11.5,23.4,2.4,5.1,0.7,0.6,0.6,NA,0.2,0.1,1.2,0.6,7.9,1.6,5.7,1.7,1.6,20.5,32.1,32.2,22.1,57.2,47.2,25.1,8.6,1.8,64434495,
2020:Q1,TopPt1,10.3,4.3,3.8,6.7,12.9,8.9,10.8,16.2,16.2,23.2,29,29.8,17.9,20.7,9.4,0.7,1.4,0.5,28.2,2.3,0.9,0.9,0.5,0.5,0.6,9.5,5.7,11.7,129591,
2020:Q1,RemainingTop1,15.8,9.9,10.7,5.8,18.3,13.7,22.4,22.9,22.8,31.8,35.4,37,14.1,30.6,19.8,4.9,9.7,4.4,24.2,6.1,4.6,4.6,4.7,1.3,14.2,20.6,20.9,17.4,1160237,
2020:Q1,Next9,36.5,28.9,30.2,22.1,39.8,37.6,43.2,40.6,40.6,32.6,25.3,24.8,32.2,36.5,29.2,60,45.1,48.2,32.7,23.3,18.1,18.1,22.9,6.8,8.4,15.5,30.4,39.2,11616617,
2020:Q1,Next40,31.6,43.6,43.8,42.1,26.5,34.7,22.9,19.7,19.7,11.5,10.1,8.2,34.6,11.6,33.7,32.6,38.2,45.1,13.3,47.8,44.4,44.4,49.8,34,33,28.5,34.5,29.7,51624284,
2020:Q1,Bottom50,5.8,13.4,11.5,23.3,2.5,5.1,0.8,0.7,0.7,0.9,0.2,0.2,1.1,0.5,7.9,1.8,5.6,1.8,1.5,20.5,32,32.1,22.1,57.3,43.7,25.9,8.5,1.9,64542940,
2020:Q2,TopPt1,10.8,4.3,3.8,6.7,13.5,9.3,12,16.1,15.9,22.3,28.9,29.5,20.7,21.7,9.6,0.8,1.3,0.6,28.1,2.3,0.9,0.9,0.5,0.6,1.1,9.7,5.7,12.2,129806,
2020:Q2,RemainingTop1,16,9.8,10.5,5.8,18.5,13.8,21.8,23.1,22.8,31.8,34.3,35.9,13.5,29.5,19.5,5,9.8,4.5,24.3,6,4.6,4.6,4.6,1.4,15.6,21.8,20.2,17.5,1162154,
2020:Q2,Next9,36.3,28.9,30.1,22.2,39.3,36.8,42.6,40.4,40.7,32,26.1,25.7,31.2,36.6,29.4,59.7,44.5,47.2,32.5,23.2,18.2,18.1,23,7,8.6,14,30.5,38.8,11635964,
2020:Q2,Next40,31.2,43.7,44,42.1,26.1,34.8,22.7,19.7,19.9,13,10.5,8.8,33.6,11.5,33.6,32.8,38.7,45.8,13.5,47.9,44.5,44.5,49.9,33.8,31.4,27.9,35,29.4,51709863,
2020:Q2,Bottom50,5.7,13.3,11.5,23.3,2.5,5.2,0.8,0.7,0.7,0.9,0.2,0.2,1,0.7,7.9,1.7,5.6,1.9,1.5,20.6,31.9,31.9,22,57.2,43.3,26.5,8.6,2.1,64651342,
2020:Q3,TopPt1,11.1,4.3,3.9,6.7,13.9,9.5,11.7,16.1,16.1,NA,28.7,29.2,23.1,22.1,9.8,0.9,1.3,0.7,28.2,2.4,0.9,0.9,0.5,0.6,1.6,8.9,5.7,12.5,130015,
2020:Q3,RemainingTop1,16,9.7,10.4,5.7,18.5,13.8,21.3,22.5,22.5,NA,34.6,36.3,13,28.9,19.3,5.3,10,4.5,24.3,5.9,4.5,4.5,4.4,1.5,16.8,21,19.7,17.5,1164091,
2020:Q3,Next9,36.1,28.9,30.2,22.2,39,36.6,42.9,40.6,40.6,NA,25.8,25.4,30.3,36.7,29.6,58.8,44.4,46.1,32.4,23,18.3,18.3,23,7.3,8.7,15.7,30.7,38.5,11655330,
2020:Q3,Next40,31.1,43.7,44,42.1,26.1,35,23.3,20,20,NA,10.7,9,32.7,11.5,33.5,33.3,38.8,46.6,13.6,48.1,44.4,44.5,50,33.8,29.8,26.9,35.3,29.4,51795745,
2020:Q3,Bottom50,5.7,13.4,11.6,23.3,2.6,5.3,0.8,0.8,0.8,NA,0.2,0.2,0.9,0.8,7.9,1.7,5.5,2,1.4,20.6,31.8,31.9,22.1,56.8,43.1,27.5,8.6,2.1,64759920,
2020:Q4,TopPt1,11.6,4.3,3.9,6.8,14.4,9.7,11.6,16.3,16.3,NA,28.6,28.9,25.3,22.7,10,1,1.3,0.8,28.2,2.4,0.9,0.9,0.5,0.7,1.9,8,5.7,13,130216,
2020:Q4,RemainingTop1,16.1,9.5,10.2,5.6,18.7,13.8,20.7,22.1,22.1,NA,32,33.5,12.6,28.3,19.1,5.5,10,4.6,24.4,5.9,4.4,4.4,4.1,1.6,18.5,19.9,18.8,17.6,1166056,
2020:Q4,Next9,36,29,30.2,22.2,38.7,36.1,43.1,40.6,40.6,NA,27.7,27.6,29.5,36.8,29.8,57.8,44.1,45.2,32.3,22.9,18.6,18.6,23.2,7.6,9.1,17.7,30.9,38.2,11674753,
2020:Q4,Next40,30.8,43.8,44.1,42.2,25.7,35.1,23.8,20.1,20.1,NA,11.4,9.9,31.9,11.4,33.3,33.9,39.1,47.3,13.8,48.2,44.4,44.4,50.2,33.9,28.8,26,35.9,29,51882128,
2020:Q4,Bottom50,5.6,13.4,11.6,23.3,2.6,5.3,0.8,0.8,0.8,NA,0.3,0.2,0.8,0.8,7.8,1.7,5.5,2.1,1.4,20.7,31.6,31.6,22,56.2,41.8,28.4,8.7,2.2,64868891,
2021:Q1,TopPt1,11.8,4.4,3.9,7,14.7,10,12.3,16,16,NA,28.5,28.6,27.1,23,10.2,1.3,1.3,0.9,28.2,2.4,0.9,0.9,0.5,0.7,2.2,7.5,6,13.2,130410,
2021:Q1,RemainingTop1,16.1,9.4,10.1,5.5,18.7,13.9,20.2,22.2,22.2,NA,30.5,31.9,12.2,27.9,18.8,5.8,10.2,4.6,24.4,5.8,4.4,4.3,3.9,1.7,19.8,19.5,19.5,17.6,1168052,
2021:Q1,Next9,35.8,29.1,30.4,22.1,38.3,35.5,42.8,40.6,40.6,NA,28.8,28.8,28.9,36.8,29.9,56,44,44.1,32.2,22.8,18.9,18.8,23.3,7.8,9.3,18.7,31,37.9,11694273,
2021:Q1,Next40,30.8,43.8,44.1,42.2,25.7,35.2,23.8,20.4,20.4,NA,11.9,10.5,31,11.4,33.2,35.1,39.1,48.1,13.9,48.4,44.4,44.4,50.3,33.7,27.6,25.3,34.9,29.1,51969209,
2021:Q1,Bottom50,5.6,13.2,11.4,23.3,2.6,5.4,0.8,0.8,0.8,NA,0.3,0.2,0.7,0.9,7.8,1.8,5.4,2.2,1.3,20.7,31.4,31.5,22,56.1,41.1,29,8.6,2.3,64978474,
2021:Q2,TopPt1,12.1,4.5,4,7.3,15.1,10.1,12.6,16,16,17.2,28.4,28.3,28.8,23.2,10.3,1.5,1.3,1,28.4,2.4,1,0.9,0.5,0.8,2.5,7.4,6,13.5,130596,
2021:Q2,RemainingTop1,16.1,9.3,10,5.3,18.7,13.8,19.8,22.2,22,32,28.6,29.9,11.8,27.6,18.6,6.1,10.2,4.7,24.3,5.7,4.2,4.2,3.6,1.8,21.1,19.6,18.7,17.6,1170086,
2021:Q2,Next9,35.6,29.2,30.5,21.8,38.1,35.4,42.8,40.6,40.6,37.4,30.2,30.4,28.4,36.9,30.1,55,43.9,43.2,32.1,22.7,19,19,23.4,8.4,9.5,18.8,31.2,37.6,11713929,
2021:Q2,Next40,30.7,43.9,44.2,42.2,25.5,35.3,24.1,20.4,20.5,12.8,12.5,11.1,30.3,11.4,33.1,35.7,39.2,48.8,13.9,48.5,44.3,44.4,50.1,34.2,26.5,24.8,35.3,29,52057184,
2021:Q2,Bottom50,5.6,13.2,11.3,23.4,2.6,5.4,0.8,0.9,0.9,0.6,0.3,0.3,0.6,0.9,7.8,1.8,5.4,2.3,1.2,20.7,31.4,31.5,22.3,54.9,40.4,29.5,8.7,2.3,65088888,
2021:Q3,TopPt1,12.2,4.5,4,7.4,15.3,10.1,12.6,16.2,16.2,16.7,28.3,28.1,30.4,23.2,10.5,1.7,1.2,1.2,28.6,2.4,1,1,0.5,0.8,2.6,7.2,6.1,13.5,130774,
2021:Q3,RemainingTop1,15.9,9.2,9.9,5.2,18.7,13.8,19.2,22.2,21.8,32,26.2,27.3,11.5,27.3,18.4,6.3,10.4,4.8,24.3,5.7,4.2,4.2,3.5,1.9,22.6,19.8,18.4,17.4,1172164,
2021:Q3,Next9,35.4,29.2,30.6,21.7,37.9,35.2,42.8,40.5,40.6,37.1,32.1,32.4,27.9,37,30.3,53.5,44,42.1,32.1,22.5,19.1,19,23.3,8.7,9.9,18.7,31.4,37.4,11733761,
2021:Q3,Next40,30.9,44,44.3,42.3,25.6,35.4,24.5,20.3,20.6,13.6,13.1,11.9,29.7,11.5,33.1,36.6,39,49.6,13.9,48.7,44.3,44.3,50.1,34.1,25.8,24.3,35.4,29.3,52146250,
2021:Q3,Bottom50,5.6,13.1,11.2,23.4,2.6,5.4,0.8,0.9,0.9,0.6,0.3,0.3,0.6,0.9,7.8,1.9,5.4,2.4,1.2,20.7,31.5,31.5,22.6,54.5,39.1,30,8.7,2.4,65200349,
2021:Q4,TopPt1,12.3,4.5,4,7.5,15.4,10.3,13.3,16.1,16.2,15.2,28.2,27.9,31.8,23.4,10.6,1.9,1.2,1.3,28.6,2.4,1,1,0.5,0.8,2.5,7.2,6.2,13.7,130945,
2021:Q4,RemainingTop1,15.9,9.1,9.8,5.1,18.6,13.8,18.8,21.7,21.6,32.1,24.8,25.8,11.2,27,18.1,6.6,10.5,4.8,24.3,5.6,4.2,4.2,3.4,2,24.6,20.3,18.1,17.3,1174292,
2021:Q4,Next9,35.2,29.3,30.6,21.7,37.6,34.9,42.6,40.6,40.6,39.5,33.2,33.6,27.4,37,30.4,51.9,44,41.2,32,22.4,19.1,19.1,23.2,9,10.4,18.3,31.6,37.2,11753807,
2021:Q4,Next40,31,44,44.3,42.3,25.7,35.5,24.5,20.6,20.7,12.7,13.6,12.4,29.1,11.6,33,37.6,39,50.3,14,48.8,44.3,44.3,50.1,34.3,26,23.8,35.4,29.4,52236604,
