Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2018:Q4,pct60to80,14372098,17885420,5186683,1193881,1752118,4470770,1667644,824747,2789576,3513321,2326458,1087958,98905
2018:Q4,pct40to60,7592332,9686957,3265905,843861,664977,2289969,681150,325728,1615368,2094625,1198680,842229,53716
2018:Q4,pct20to40,4221465,5457927,2224008,537324,307901,903869,168684,235373,1080768,1236462,626063,566745,43654
2018:Q4,pct00to20,2913346,3556941,1443256,328061,367440,263828,56600,369322,728434,643595,291672,308900,43023
2019:Q1,pct99to100,25906022,27080232,3788857,697057,11167475,600226,1104809,4986870,4734938,1174210,721731,57865,394614
2019:Q1,pct80to99,48164399,54477108,12788242,1905537,11944032,8033891,6177330,4764115,8863962,6312709,4970865,1120323,221521
2019:Q1,pct60to80,15115879,18625512,5269812,1207906,2069080,4521465,1815007,846581,2895661,3509633,2330985,1083700,94948
2019:Q1,pct40to60,7860866,9962120,3291197,850913,751626,2336969,757700,336216,1637499,2101254,1200740,848816,51698
2019:Q1,pct20to40,4343186,5583020,2248972,548057,348558,909414,183626,235547,1108845,1239833,630785,568213,40835
2019:Q1,pct00to20,3069274,3710667,1492315,338462,408382,274053,56419,370396,770639,641393,291064,315563,34766
2019:Q2,pct99to100,26555584,27741648,3806772,695734,11562839,613417,1119560,5194116,4749210,1186065,724678,50567,410820
2019:Q2,pct80to99,48910846,55279940,12920434,1922052,12255254,8073833,6356449,4893166,8858753,6369094,5012804,1130666,225624
2019:Q2,pct60to80,15447527,19003490,5348322,1215885,2162252,4571957,1860905,884547,2959623,3555964,2355000,1106347,94617
2019:Q2,pct40to60,8010625,10141288,3357560,858947,774525,2377846,793239,364204,1614968,2130664,1210204,866164,54296
2019:Q2,pct20to40,4389622,5651139,2282538,552137,358505,915694,189049,237163,1116053,1261516,637391,581977,42148
2019:Q2,pct00to20,3204211,3840603,1544007,341843,425035,280759,56830,374642,817487,636392,290886,316400,29106
2019:Q3,pct99to100,26607157,27804410,3799794,676238,11514927,626148,1113475,5279603,4794225,1197253,729008,43800,424445
2019:Q3,pct80to99,49004924,55422947,12914278,1951823,12129709,8108845,6426974,4898549,8992769,6418023,5054217,1145026,218780
2019:Q3,pct60to80,15612654,19213245,5408811,1227379,2178276,4619917,1862014,899486,3017363,3600591,2378117,1130010,92464
2019:Q3,pct40to60,8134559,10297055,3448184,877719,775679,2417765,810644,367030,1600035,2162496,1221389,886727,54380
2019:Q3,pct20to40,4466129,5748335,2357083,551893,357947,921792,190291,236516,1132813,1282206,644671,596430,41105
2019:Q3,pct00to20,3317788,3953600,1615654,339671,433657,287279,57530,374054,845755,635812,291859,322165,21788
2019:Q4,pct99to100,27412160,28614976,3864008,671310,12208087,630963,1152303,5247093,4841212,1202816,736867,53570,412379
2019:Q4,pct80to99,50842910,57322134,13050769,1975523,13168190,8212799,6715246,4912990,9286616,6479224,5060858,1180020,238346
2019:Q4,pct60to80,15934965,19577726,5492599,1238856,2289733,4644908,1949339,910130,3052160,3642760,2404999,1144440,93321
2019:Q4,pct40to60,8377647,10567413,3493745,888127,859755,2425739,833145,402642,1664260,2189766,1242188,890208,57370
2019:Q4,pct20to40,4594292,5882278,2386988,554810,371935,963891,202245,244850,1157559,1287985,646807,600583,40595
2019:Q4,pct00to20,3324561,3966109,1599401,342716,464280,284376,60418,383750,831168,641548,293961,323370,24217
2020:Q1,pct99to100,24414289,25621841,3947896,667855,9033639,626872,1010670,5260820,5074089,1207551,743074,57414,407063
2020:Q1,pct80to99,48236056,54745903,13314470,1993469,10370971,8218220,6042294,4973922,9832558,6509847,5053743,1179882,276222
2020:Q1,pct60to80,15281179,18919328,5613192,1247359,1721819,4619342,1649619,929595,3138402,3638149,2422646,1118031,97472
2020:Q1,pct40to60,8348802,10546314,3609089,895449,746366,2414447,697512,447962,1735488,2197512,1258185,875100,64227
2020:Q1,pct20to40,4628386,5903321,2431137,557048,293593,1002257,177625,254018,1187642,1274935,647518,583368,44049
2020:Q1,pct00to20,3287660,3946478,1618004,345348,418809,277795,65231,395244,826048,658818,295110,334044,29664
2020:Q2,pct99to100,26683422,27889323,4025099,661698,10988081,628974,1117290,5253622,5214559,1205901,751556,61650,392695
2020:Q2,pct80to99,52101146,58600929,13598175,1994627,12637785,8292499,6712905,5014004,10350934,6499783,5054175,1177501,268107
2020:Q2,pct60to80,16094949,19730214,5768297,1245579,2056646,4629057,1891372,945120,3194143,3635265,2445034,1093902,96329
2020:Q2,pct40to60,8855611,11057670,3737593,895385,892242,2416614,785242,488964,1841630,2202060,1278731,858710,64619
2020:Q2,pct20to40,4863000,6123184,2488415,554533,338404,1043342,204356,262829,1231306,1260184,649702,568749,41733
2020:Q2,pct00to20,3336151,4002138,1644280,343782,474206,273767,67699,405953,792451,665987,297897,336879,31211
2020:Q3,pct99to100,27791837,29003233,4119172,669260,11928882,629400,1161171,5365136,5130211,1211396,765999,69980,375417
2020:Q3,pct80to99,54191443,60827564,13896725,2059463,13895370,8348465,7050158,5174047,10403336,6636121,5091100,1205091,339930
2020:Q3,pct60to80,16550265,20236192,5920660,1283640,2213371,4629334,1999859,983516,3205811,3685926,2491974,1098154,95798
2020:Q3,pct40to60,9228045,11467558,3884014,922633,985715,2415193,818605,555593,1885806,2239513,1314445,858866,66202
2020:Q3,pct20to40,5024492,6285138,2537067,571396,358952,1083815,218459,273870,1241579,1260646,656443,567478,36725
2020:Q3,pct00to20,3411085,4086500,1670557,359523,509275,269043,70765,421383,785955,675415,304471,343137,27807
2020:Q4,pct99to100,30221934,31447017,4246125,675471,13918809,635871,1245944,5443440,5281356,1225083,782502,79880,362701
2020:Q4,pct80to99,57974412,64754719,14272284,2118013,16200098,8471509,7578950,5301169,10812696,6780307,5114727,1230833,434747
2020:Q4,pct60to80,17407060,21136053,6106466,1317766,2554685,4664132,2181893,1015719,3295392,3728993,2528006,1103330,97657
2020:Q4,pct40to60,9758125,12037695,4052131,947282,1133905,2426986,880591,615588,1981212,2279570,1350066,858918,70586
2020:Q4,pct20to40,5244075,6511823,2598001,586276,404730,1126804,239495,284355,1272162,1267748,663722,570120,33906
2020:Q4,pct00to20,3530834,4211392,1709216,373378,565749,266834,73239,435582,787394,680558,313176,341772,25610
2021:Q1,pct99to100,31479282,32713404,4405675,688456,14894577,637573,1269896,5522584,5294644,1234122,797060,85868,351194
2021:Q1,pct80to99,60451600,67326434,14836908,2163786,17493032,8542068,7764036,5429669,11096934,6874833,5132760,1237668,504405
2021:Q1,pct60to80,17930696,21676095,6353244,1346066,2718115,4671908,2224557,1048253,3313952,3745399,2560694,1086222,98483
2021:Q1,pct40to60,10181460,12486069,4245657,964217,1229461,2428473,884843,676201,2057217,2304609,1382045,849249,73315
2021:Q1,pct20to40,5444843,6705428,2666573,601026,426348,1167935,247297,294911,1301337,1260584,669784,560130,30670
2021:Q1,pct00to20,3599836,4292073,1763250,387830,601966,262643,76087,449888,750409,692237,320460,348082,23695
2021:Q2,pct99to100,33146696,34419969,4678166,717215,16038921,640730,1321548,5770298,5253091,1273273,831455,103034,338784
2021:Q2,pct80to99,63503275,70659101,15792380,2281699,18954651,8628973,8122284,5729983,11149130,7155826,5296268,1321849,537709
2021:Q2,pct60to80,18618748,22560442,6775974,1419458,2911378,4688109,2338252,1113742,3313529,3941694,2693365,1149724,98605
2021:Q2,pct40to60,10690256,13111924,4561275,1012347,1333896,2433212,919522,774975,2076697,2421668,1469580,876572,75516
2021:Q2,pct20to40,5657473,6964881,2791469,637479,452073,1209723,261921,308650,1303566,1307408,691941,586941,28526
2021:Q2,pct00to20,3773150,4483496,1870561,421229,641721,259060,78974,470923,741028,710346,339561,347065,23720
2021:Q3,pct99to100,33644530,34932986,4894037,734668,16017408,640676,1307870,6038435,5299892,1288456,847251,111536,329669
2021:Q3,pct80to99,65024717,72328041,16516469,2369745,19244881,8680743,8140258,6052319,11323626,7303324,5370982,1360649,571693
2021:Q3,pct60to80,18984709,23019785,7106723,1473077,2900476,4686150,2317692,1183599,3352068,4035077,2769370,1165407,100300
2021:Q3,pct40to60,11085604,13560784,4806760,1048884,1376723,2431015,900374,879705,2117323,2475180,1515678,880223,79279
2021:Q3,pct20to40,5850603,7167487,2902653,662897,450129,1250360,263834,322772,1314843,1316884,700840,587794,28250
2021:Q3,pct00to20,3902750,4628969,1954925,444347,657875,254133,82438,492782,742470,726220,346067,354578,25575
2021:Q4,pct99to100,34448389,35760047,4981529,751234,16525619,644953,1351511,6181806,5323395,1311658,864620,121816,325222
2021:Q4,pct80to99,66852300,74302569,16769343,2463995,20064562,8780637,8427066,6248616,11548351,7450269,5450295,1404374,595600
2021:Q4,pct60to80,19356347,23497933,7255985,1530051,2982765,4709063,2399880,1229428,3390762,4141587,2848554,1188244,104789
2021:Q4,pct40to60,11456065,13992443,4962941,1088755,1447205,2438389,920863,957048,2177242,2536377,1565024,885310,86043
2021:Q4,pct20to40,6005700,7341835,2953087,689188,460881,1292755,275437,334683,1335803,1336135,710717,593247,32171
2021:Q4,pct00to20,3969262,4710567,1980808,467884,684764,251026,85126,509851,731108,741305,353737,355539,32029
