Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1993:Q2,SomeCollege,5920708,2208798,1691821,516977,3711910,551550,72868,204047,165447,38600,112525,63565,48960,651779,103413,95343,167558,1042872,645527,64427,940845,937241,705222,203446,643,27930,3604,4979863,22133837
1993:Q2,HS,5797030,2249731,1735942,513789,3547300,669147,47146,135421,111181,24240,55315,32116,23200,477550,110016,133671,173898,1170145,507373,67618,825436,821628,595860,203896,652,21219,3808,4971594,29355912
1993:Q2,NoHS,2220834,903504,690529,212975,1317330,333883,10426,60006,54005,6001,11403,5414,5989,109643,34137,34098,24608,464506,208025,26596,221244,220083,147925,66286,341,5531,1161,1999590,19173425
1993:Q3,College,14848760,4676562,3683377,993185,10172198,1246495,283444,896635,684772,211863,309571,259644,49927,2325695,229958,243710,698321,2044024,1767539,126807,1958395,1950633,1467329,346921,2249,134134,7762,12890366,25801520
1993:Q3,SomeCollege,6050823,2259352,1727976,531377,3791471,558858,73516,204623,161493,43130,105243,58928,46315,689721,105263,97157,178354,1059542,653664,65531,967800,964171,719983,214760,829,28599,3629,5083024,22441389
1993:Q3,HS,5954900,2307919,1775615,532305,3646981,670387,49126,141447,114542,26906,54891,30719,24172,503247,113046,140277,184780,1204951,515438,69391,858101,854236,619158,211837,792,22449,3865,5096800,29581742
1993:Q3,NoHS,2263873,918253,709053,209201,1345620,329341,9979,63681,57283,6398,11400,4623,6778,112235,36172,36491,27112,478213,213766,27230,228655,227442,152062,69150,393,5837,1213,2035218,19079750
1993:Q4,College,15024920,4682363,3691538,990826,10342556,1239425,287272,921102,676331,244771,320935,272226,48709,2433327,232729,246314,698565,2048906,1787610,126372,1976939,1969191,1472957,353866,2214,140155,7748,13047980,25598207
1993:Q4,SomeCollege,6185048,2307885,1759905,547979,3877163,563530,76063,216009,161716,54293,99198,55598,43600,730301,107170,96673,187004,1075179,659792,66244,996914,993261,733268,230189,932,28872,3653,5188134,22747206
1993:Q4,HS,6127161,2380963,1830889,550074,3746198,669060,52119,152977,120192,32785,53894,28708,25185,531099,116213,144473,193979,1239401,522363,70620,894690,890765,638757,227519,827,23661,3925,5232472,29818768
1993:Q4,NoHS,2310553,937779,724410,213369,1372774,324100,9829,67528,60452,7076,11560,3986,7575,115094,38214,38407,29449,491599,219372,27621,236969,235704,154694,74595,396,6018,1265,2073584,18991897
1994:Q1,College,14946333,4643178,3667308,975870,10303155,1223459,294164,983807,725709,258099,331845,284239,47606,2298459,233279,248322,690705,2054212,1818455,126448,1969136,1961393,1470565,346568,2979,141281,7743,12977197,25391727
1994:Q1,SomeCollege,6261288,2343149,1779395,563754,3918139,565526,79305,234839,176980,57860,93548,52729,40820,719708,108531,95823,192944,1091181,669517,67216,1012852,1009174,743354,236230,1391,28198,3678,5248436,23048592
1994:Q1,HS,6263936,2457479,1896007,561473,3806457,665145,55540,170331,135363,34968,53185,26949,26236,513943,118792,148382,201029,1275213,532611,72286,915250,911261,658548,226737,1220,24755,3989,5348686,30062579
1994:Q1,NoHS,2357892,964721,739659,225062,1393171,318169,9774,71517,64159,7359,11858,3425,8433,110781,40122,40233,31573,505150,225813,28181,239589,238271,157486,74341,536,5909,1319,2118303,18907502
1994:Q2,College,14934809,4639558,3666881,972677,10295251,1196665,286623,1030826,756664,274162,334305,287818,46487,2225931,234307,248186,698023,2058536,1855648,126203,1983592,1975846,1479099,350031,3824,142891,7746,12951217,25191884
