Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2010:Q4,Black,2586008,3557639,1035246,297304,134968,1216990,298786,126794,447551,971631,614118,336854,20659
2010:Q4,Hispanic,1353327,2181649,790893,291669,126652,377990,197928,166655,229862,828323,620947,196898,10478
2010:Q4,Other,3855622,5263756,1568326,351374,826127,727498,460011,424998,905422,1408134,1089190,281177,37767
2011:Q1,White,55578572,65649413,15154992,3621840,12129330,9964504,5335494,5876008,13567245,10070841,7615789,1824583,630469
2011:Q1,Black,2634352,3599494,1012486,300836,148642,1236795,316802,131729,452204,965142,612235,332121,20786
2011:Q1,Hispanic,1341224,2157390,770659,290664,132508,369359,195814,168020,230366,816166,610331,194216,11619
2011:Q1,Other,3954476,5353629,1551825,354924,866079,744806,479579,432754,923663,1399154,1085432,277389,36333
2011:Q2,White,56008356,66045671,15082373,3648146,12107617,10035441,5365999,5914674,13891421,10037315,7567898,1850369,619048
2011:Q2,Black,2662808,3629009,995290,310824,156070,1253845,320228,136438,456314,966201,613197,334323,18681
2011:Q2,Hispanic,1322493,2126321,758130,288100,132461,359618,188622,168936,230454,803828,601631,191387,10810
2011:Q2,Other,3960555,5349330,1543270,362004,840824,760538,485805,440147,916742,1388775,1077942,276998,33835
2011:Q3,White,54394159,64429922,15011811,3678408,10288800,10066005,5001393,5989070,14394435,10035764,7530823,1890841,614100
2011:Q3,Black,2612104,3582686,986348,304388,149074,1263562,277520,142366,459428,970582,612422,340797,17363
2011:Q3,Hispanic,1278323,2070219,746786,287382,119761,347485,167183,170834,230789,791897,591263,190713,9921
2011:Q3,Other,3799681,5184048,1546489,360451,675549,769424,452924,450208,929003,1384367,1071262,279823,33282
2011:Q4,White,55525197,65554354,14886875,3691334,10940256,10162309,5223973,6112217,14537390,10029157,7490330,1936646,602181
2011:Q4,Black,2647879,3626867,966053,306748,161875,1281190,301471,150101,459430,978988,616231,346988,15769
2011:Q4,Hispanic,1261525,2044641,728737,283360,124126,337528,165728,174268,230894,783116,584630,189934,8552
