Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2018:Q2,HS,10892801,13131578,3845838,1001447,1495323,2491258,1236807,1082547,1978357,2238776,1530959,622915,84902
2018:Q2,NoHS,2620556,3197318,1139538,339124,241730,540544,281212,205595,449575,576762,373267,181370,22125
2018:Q3,College,71868984,80737629,17811256,2774552,22215994,9247525,6862652,8492375,13333275,8868645,6159633,2048557,660455
2018:Q3,SomeCollege,16697544,19848442,5275663,1298490,2556280,4191354,1799600,1567636,3159419,3150898,1979230,1070920,100748
2018:Q3,HS,11110278,13379792,3901482,1013493,1605129,2488243,1271878,1105103,1994464,2269514,1553890,633071,82553
2018:Q3,NoHS,2539323,3111209,1130506,331181,245109,510233,259428,200891,433861,571886,367298,182032,22556
2018:Q4,College,68922343,77859616,17978572,2812087,19238596,9320300,6347254,8469547,13693260,8937273,6199621,2084252,653400
2018:Q4,SomeCollege,16296747,19467518,5351990,1309638,2153850,4217407,1607210,1562044,3265380,3170771,1986784,1092148,91839
2018:Q4,HS,10811501,13128107,3935301,1030469,1350157,2471885,1180264,1113790,2046241,2316606,1573241,647213,96152
2018:Q4,NoHS,2409616,2975053,1120658,319411,212272,477076,229056,193824,422757,565437,360033,183428,21976
2019:Q1,College,73476825,82422091,18307965,2844528,22221500,9465887,6857750,8603232,14121229,8945266,6220661,2089327,635278
2019:Q1,SomeCollege,17167174,20342712,5430488,1331811,2576522,4275554,1751480,1598704,3378154,3175538,1984989,1091746,98803
2019:Q1,HS,11436578,13743095,4030683,1047776,1657245,2484525,1273579,1147538,2101750,2306517,1588831,635678,82008
2019:Q1,NoHS,2379050,2930760,1110261,323817,233885,450051,212082,190251,410413,551711,351689,177730,22292
2019:Q2,College,74969039,84010020,18548949,2865543,22881580,9577691,7070392,8880049,14185816,9040981,6271654,2120772,648555
2019:Q2,SomeCollege,17542291,20747039,5519575,1342059,2676011,4315415,1798601,1674076,3421302,3204748,1995950,1108475,100323
2019:Q2,HS,11713825,14061394,4099844,1060682,1746991,2517281,1315201,1204057,2117338,2347568,1617139,645457,84972
2019:Q2,NoHS,2293259,2839656,1091264,318313,233829,423120,191837,189655,391637,546397,346221,177416,22760
2019:Q3,College,75397069,84538694,18720296,2901484,22740102,9686944,7154091,8951428,14384348,9141626,6329400,2165513,646713
2019:Q3,SomeCollege,17705756,20944479,5617976,1345327,2662007,4350041,1801968,1691006,3476154,3238723,2006682,1127472,104569
2019:Q3,HS,11846199,14222311,4132883,1076634,1761263,2548110,1334048,1228320,2141054,2376112,1643046,654426,78640
2019:Q3,NoHS,2194187,2734108,1072648,301279,226823,396651,170819,184484,381404,539921,340133,176747,23041
2019:Q4,College,78126202,87395753,19012465,2951088,24374617,9835932,7496188,8955781,14769682,9269551,6400076,2207362,662113
2019:Q4,SomeCollege,18161161,21428050,5668753,1347668,2885105,4398104,1913398,1720992,3494030,3266888,2029551,1134834,102503
2019:Q4,HS,12038922,14419108,4142046,1081167,1876245,2546002,1341717,1242233,2189698,2380187,1626723,673962,79502
2019:Q4,NoHS,2160251,2687724,1064247,291419,226013,382637,161393,182450,379565,527474,329330,176033,22111
2020:Q1,College,73297971,82665552,19494773,2993243,18940319,9892417,6687038,9040026,15617736,9367581,6454191,2207645,705745
2020:Q1,SomeCollege,17412435,20664886,5790508,1347486,2137275,4397570,1657242,1771413,3563392,3252450,2043152,1113571,95727
2020:Q1,HS,11417492,13777673,4190803,1083036,1337754,2506564,1155885,1268050,2235581,2360181,1604991,659433,95757
2020:Q1,NoHS,2068474,2575074,1057705,282762,169850,362381,142783,182074,377519,506600,317940,167190,21470
2020:Q2,College,79361673,88776841,20009986,3009387,22875318,10019261,7480291,9090990,16291609,9415168,6525833,2196552,692783
2020:Q2,SomeCollege,18464458,21710079,5928799,1337281,2663196,4425395,1912887,1810543,3631978,3245621,2060720,1090723,94178
2020:Q2,HS,12023285,14344298,4264222,1076368,1660423,2491968,1246207,1287899,2317211,2321014,1583458,649993,87563
2020:Q2,NoHS,2084862,2572240,1058852,272568,188427,347628,139480,181060,384225,487377,307085,160123,20169
2020:Q3,College,82720568,92351271,20574587,3130357,24958301,10131950,7876748,9346546,16332781,9630703,6655101,2235847,739755
2020:Q3,SomeCollege,19051612,22343462,6065885,1362260,2930682,4441255,2039953,1904230,3599196,3291849,2098618,1089790,103441
2020:Q3,HS,12354404,14664006,4331544,1101026,1810430,2469653,1269182,1338676,2343495,2309602,1571972,659373,78257
2020:Q3,NoHS,2070583,2547447,1056179,272271,192151,332392,133133,184094,377226,476863,298741,157696,20426
2020:Q4,College,89010165,98874811,21270954,3242783,28987569,10314937,8519319,9549259,16989991,9864646,6784166,2266211,814269
2020:Q4,SomeCollege,20081798,23410960,6227986,1382268,3449967,4483841,2229565,1980490,3656843,3329162,2130199,1087117,111846
2020:Q4,HS,12960410,15262115,4424578,1121922,2130990,2471035,1323183,1379989,2410418,2301705,1549245,674514,77946
2020:Q4,NoHS,2084069,2550813,1060706,271213,209450,322323,128044,186115,372963,466744,288588,157011,21145
2021:Q1,College,92928031,102976472,22184020,3339767,31162578,10450753,8758253,9757356,17323745,10048441,6903100,2277344,867997
2021:Q1,SomeCollege,20718077,24060703,6448445,1399876,3709195,4498451,2282602,2055107,3667028,3342626,2155226,1069091,118309
2021:Q1,HS,13338472,15606712,4562841,1137568,2278597,2451790,1305953,1420711,2449252,2268240,1525333,668826,74081
2021:Q1,NoHS,2103138,2555616,1076003,274169,213129,309606,119909,188333,374467,452478,279143,151959,21376
2021:Q2,College,97865449,108386374,23685392,3557998,33663990,10607690,9200867,10260202,17410235,10520925,7233468,2395500,891957
2021:Q2,SomeCollege,21540572,25027299,6831303,1456305,4000127,4516159,2401209,2207354,3614842,3486727,2261416,1106027,119284
2021:Q2,HS,13842216,16184427,4834646,1187874,2449526,2437192,1326031,1504948,2444209,2342211,1548142,723359,70710
2021:Q2,NoHS,2141360,2601713,1118483,287250,218997,298767,114394,196067,367755,460353,279145,160299,20909
2021:Q3,College,100346712,111139312,24896094,3727831,34011802,10734557,9228958,10805515,17734555,10792600,7414500,2455120,922980
2021:Q3,SomeCollege,21929249,25463909,7106504,1490721,3998831,4513674,2392697,2366360,3595122,3534660,2308191,1108362,118107
2021:Q3,HS,14055595,16416034,5025722,1221407,2426006,2408264,1283722,1593127,2457786,2360439,1550657,736702,73080
2021:Q3,NoHS,2161356,2618798,1153248,293657,210853,286582,107090,204609,362759,457442,276840,160003,20599
2021:Q4,College,103409036,114493077,25492040,3909964,35352658,10915363,9604871,11142363,18075818,11084042,7610535,2515386,958121
2021:Q4,SomeCollege,22310854,25889084,7193363,1524875,4117831,4527905,2470668,2462592,3591850,3578230,2355416,1112646,110168
2021:Q4,HS,14209854,16607568,5062140,1256242,2485536,2395285,1283182,1646842,2478340,2397714,1551876,758456,87382
2021:Q4,NoHS,2158319,2615664,1156148,300027,209771,278268,101163,209636,360652,457346,275120,162042,20184
2022:Q1,College,104954024,116272305,28024134,4106089,34055369,10825140,9236457,11434295,18590821,11318281,7786247,2556794,975240
2022:Q1,SomeCollege,22508068,26111299,7781633,1562693,3895550,4418285,2325889,2540964,3586284,3603231,2394762,1102893,105576
2022:Q1,HS,14317126,16726712,5479497,1293015,2317780,2282380,1171350,1691054,2491635,2409586,1561644,757513,90429
2022:Q1,NoHS,2221442,2677344,1257069,310471,192771,254135,91330,214254,357314,455903,276535,159782,19586
2022:Q2,College,100580833,112177510,29684426,4226250,28488794,10706288,8394299,11910857,18766596,11596677,8009339,2634180,953158
2022:Q2,SomeCollege,21730822,25373661,8113277,1566278,3152255,4293743,2055649,2662456,3530002,3642838,2440274,1110722,91842
2022:Q2,HS,13775126,16216514,5717000,1304801,1804989,2144505,1000537,1759545,2485137,2441387,1558843,784972,97572
2022:Q2,NoHS,2196189,2654467,1309117,309242,151093,229465,79858,222523,353169,458278,275998,164269,18011
2022:Q3,College,98690818,110570160,29157253,4361344,27207619,10663566,8127896,11898015,19154467,11879341,8211016,2705697,962628
2022:Q3,SomeCollege,20852667,24517488,7714448,1573979,2946231,4197343,1945889,2647793,3491805,3664821,2467656,1110955,86210
2022:Q3,HS,13128961,15569741,5407636,1318807,1654331,2031545,911138,1752941,2493343,2440780,1536148,804806,99826
2022:Q3,NoHS,2087347,2545189,1242257,312524,136985,209920,71707,223019,348777,457842,272538,167948,17356
2022:Q4,College,99766154,111782098,28458637,4416406,28514276,10580779,8453061,11640754,19718185,12015944,8336446,2765461,914037
2022:Q4,SomeCollege,20797994,24489189,7583088,1583105,3080420,4134393,2016124,2561162,3530898,3691195,2490652,1130099,70444
2022:Q4,HS,13014548,15478311,5316361,1318174,1733691,1968811,939425,1694115,2507733,2463763,1529964,824422,109377
2022:Q4,NoHS,2073432,2537834,1236754,317778,144568,202598,73299,218678,344160,464402,274364,174261,15777
2023:Q1,College,102689127,114780600,28529044,4496538,30366208,10698044,8845800,11462719,20382247,12091473,8427069,2773508,890896
2023:Q1,SomeCollege,21026144,24713483,7537645,1594125,3269301,4143437,2109255,2489585,3570134,3687339,2490069,1122374,74896
2023:Q1,HS,13185815,15614689,5276638,1329078,1860012,1979815,988172,1653952,2527021,2428873,1511370,821298,96205
2023:Q1,NoHS,2020237,2468673,1198193,312011,150377,199910,73862,208771,325548,448436,263637,169542,15257
2023:Q2,College,106678844,118888408,30063371,4561328,32057459,10792373,9199132,11680597,20534148,12209564,8513061,2801702,894801
2023:Q2,SomeCollege,21672356,25384545,7872020,1607709,3450440,4159548,2197112,2531295,3566420,3712188,2503530,1130776,77882
2023:Q2,HS,13649577,16086128,5549889,1338860,1979007,1994319,1032187,1674544,2517323,2436551,1508701,836163,91687
2023:Q2,NoHS,2113915,2565818,1274962,316713,159432,203287,75924,211576,323925,451904,263398,173063,15443
2023:Q3,College,105616555,117952894,30457780,4578087,30852239,10696778,9127492,11698057,20542461,12336339,8610402,2809786,916151
2023:Q3,SomeCollege,21493943,25234636,7939553,1605836,3296066,4104793,2208257,2525603,3554529,3740693,2525540,1133428,81725
2023:Q3,HS,13531701,15979426,5594405,1336579,1875509,1950168,1049079,1668471,2505215,2447725,1511362,846174,90189
2023:Q3,NoHS,2090983,2541587,1278043,312280,150397,194553,78213,208931,319170,450604,261227,173609,15768
2023:Q4,College,108998258,121435279,30219612,4592365,33506382,10951261,9619090,11343269,21203300,12437020,8681874,2838456,916690
2023:Q4,SomeCollege,21910190,25688326,7881951,1615049,3609082,4209859,2295831,2436520,3640034,3778136,2549646,1147530,80960
2023:Q4,HS,13708632,16165529,5526875,1332878,2068483,2021456,1070390,1608779,2536668,2456897,1507277,858634,90986
2023:Q4,NoHS,2118608,2578019,1277629,320148,167081,210662,77169,205267,320064,459411,264429,179089,15893
2024:Q1,College,113513078,126007543,31541012,4645077,36121422,11002772,10111799,11179789,21405671,12494465,8712905,2825723,955837
2024:Q1,SomeCollege,22734667,26520734,8212500,1635663,3921744,4236822,2432156,2397472,3684376,3786067,2559238,1141212,85617
2024:Q1,HS,14316494,16763382,5803343,1350397,2274974,2038517,1137903,1589417,2568830,2446888,1504023,849356,93509
2024:Q1,NoHS,2197087,2648892,1335867,322028,180260,210388,78981,200678,320690,451805,260195,175079,16531
2024:Q2,College,115729718,128345686,32816155,4687669,36710246,11055653,10276039,11254154,21545770,12615968,8802771,2842156,971041
2024:Q2,SomeCollege,23012608,26811147,8456832,1637545,3960554,4225662,2459610,2396747,3674198,3798539,2568223,1141557,88759
2024:Q2,HS,14579837,17035024,6022767,1355069,2306925,2037693,1154800,1591390,2566380,2455186,1507225,856923,91038
2024:Q2,NoHS,2254488,2707381,1393691,322467,182084,209802,79498,200359,319480,452894,259881,176196,16817
2024:Q3,College,119837630,132593887,32763238,4739186,39672678,11145510,10723000,11344956,22205319,12756258,8897817,2885338,973103
2024:Q3,SomeCollege,23310749,27112021,8350779,1635420,4257630,4211937,2549039,2390334,3716881,3801272,2569351,1142966,88955
2024:Q3,HS,14891230,17362197,5995373,1366010,2530373,2054598,1210103,1600207,2605533,2470968,1519068,862178,89722
2024:Q3,NoHS,2227139,2674230,1358199,318895,194426,208167,79904,197434,317204,447090,256737,173799,16554
2024:Q4,College,120107471,132878730,32589588,4828613,39861598,11213080,10736241,11378716,22270895,12771259,9002861,2859069,909329
2024:Q4,SomeCollege,23156831,26954322,8238426,1646971,4239017,4198532,2525041,2374862,3731473,3797491,2575404,1120372,101715
2024:Q4,HS,14868987,17262137,5900325,1377708,2520571,2050373,1197812,1590500,2624848,2393150,1510750,840297,42103
2024:Q4,NoHS,2212186,2650549,1332869,320512,193351,207718,78966,195960,321173,438362,254407,169136,14819
