Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1996:Q1,pct40to60,3876002,1572117,1184775,387342,2303886,420504,36745,99538,55190,44348,52506,40132,12373,273222,68385,72618,119564,879825,232380,48597,675709,673607,423034,236388,3385,10799,2103,3200293,19916113,,
1996:Q1,pct20to40,2622997,1167494,911421,256072,1455503,349281,42013,74181,53721,20460,8267,2133,6134,182004,48415,14052,57533,497329,148556,33872,383543,382052,221015,140754,880,19403,1492,2239454,19916471,,
1996:Q1,pct00to20,1284737,619758,491555,128203,664978,147230,13447,21836,14907,6929,8027,4184,3844,58953,17639,3935,21301,182803,172544,17264,161837,161282,80085,77837,753,2608,555,1122900,19913255,,
1996:Q2,pct99to100,5835652,1035334,769291,266043,4800319,372325,165393,736671,518597,218074,217259,193549,23710,1675358,73401,24199,218902,157244,1133793,25774,292338,290056,201147,16849,4155,67905,2282,5543315,999176,,
1996:Q2,pct80to99,14468291,4368329,3428147,940182,10099962,1065012,264770,658612,445170,213442,178099,141102,36997,2306988,244662,344154,872586,2458289,1584938,121851,2103097,2095501,1585085,387540,8535,114341,7596,12365194,18977206,,
1996:Q2,pct60to80,6315941,2478231,1884900,593330,3837711,515992,66998,159560,109911,49649,47347,26088,21259,571617,139762,159126,280483,1428118,393881,74828,1274156,1269876,909921,324728,4212,31015,4279,5041786,19972405,,
1996:Q2,pct40to60,3910863,1587213,1193710,393503,2323650,416767,36797,104222,59641,44580,53638,41265,12372,280616,69843,72355,123267,882004,235425,48717,693309,691189,432507,243988,4347,10347,2120,3217554,19974559,,
1996:Q2,pct20to40,2669753,1186317,928343,257973,1483436,354266,42322,78179,55499,22680,9647,3290,6357,188188,48181,14427,56803,504677,152974,33771,388865,387396,223217,144731,1275,18172,1469,2280888,19974700,,
1996:Q2,pct00to20,1296502,624201,496417,127785,672301,151131,14255,27562,19067,8494,8618,5047,3571,60132,17693,3663,20958,184983,166059,17248,163656,163100,80330,78742,1025,3003,556,1132846,19970770,,
1996:Q3,pct99to100,5875894,1050009,786737,263272,4825885,371288,173422,752627,535739,216888,217566,194909,22657,1664684,71669,24284,221070,163722,1139734,25818,300379,298143,204843,17881,4535,70884,2236,5575515,1002125,,
1996:Q3,pct80to99,14633895,4425655,3471504,954151,10208240,1076604,268960,649506,449873,199634,174173,138093,36080,2321838,256634,343331,905417,2472942,1615260,123574,2135226,2127400,1609924,395116,9821,112539,7827,12498668,19032736,,
1996:Q3,pct60to80,6412847,2501653,1904336,597317,3911193,515424,72261,162531,114797,47734,44684,23463,21221,574228,142345,165953,296265,1467965,394035,75503,1304196,1299903,925445,337182,4731,32545,4293,5108651,20031070,,
1996:Q3,pct40to60,3946599,1610200,1210166,400034,2336399,415777,38049,101513,63331,38183,54840,42475,12365,282943,71880,71854,128196,883954,238119,49275,710617,708479,442668,251427,4508,9877,2138,3235982,20033686,,
1996:Q3,pct20to40,2706358,1197825,936419,261407,1508532,360353,43914,79343,56821,22521,10939,4364,6575,191550,47993,14752,56254,512048,157415,33972,394001,392554,225657,148540,1417,16941,1447,2312356,20033594,,
1996:Q3,pct00to20,1304712,627927,498931,128995,676785,155000,15116,31400,22190,9210,9402,6112,3290,59768,18054,3384,20533,187139,159598,17392,165582,165026,80826,79702,1070,3428,556,1139130,20028843,,
1996:Q4,pct99to100,6067985,1067271,799230,268041,5000713,365770,184347,767033,550577,216455,237510,215918,21592,1752692,70144,23628,239388,169328,1165062,25812,306597,304410,207332,19366,3668,74044,2186,5761388,1005093,,
1996:Q4,pct80to99,14982651,4479053,3517945,961109,10503597,1078740,277546,649163,453428,195735,186073,150914,35159,2438800,269138,321089,1016343,2477510,1664135,125062,2172982,2164926,1632527,406317,7942,118141,8056,12809668,19088808,,
1996:Q4,pct60to80,6552762,2520619,1921651,598968,4032143,512769,78227,167540,118941,48599,47039,25849,21190,596555,145058,162354,346067,1502983,397533,76018,1335630,1331324,939988,353337,3800,34199,4306,5217132,20090191,,
1996:Q4,pct40to60,3996751,1630272,1228981,401290,2366479,412712,39610,101096,66795,34301,55229,42863,12366,291781,74014,66326,146324,883993,245714,49682,726372,724216,450876,260486,3266,9588,2156,3270379,20093343,,
1996:Q4,pct20to40,2727826,1191265,924927,266338,1536561,365324,45839,81135,57995,23140,10295,3490,6805,198521,47812,14075,58644,519211,161639,34067,399254,397829,227493,153861,998,15477,1424,2328573,20093033,,
1996:Q4,pct00to20,1312191,628553,496371,132183,683637,158726,15995,35135,24976,10159,11608,8601,3007,61379,18461,2918,19542,188996,153396,17480,165632,165076,80415,80511,688,3462,556,1146559,20087372,,
1997:Q1,pct99to100,6094380,1080007,810635,269372,5014373,362747,198897,738177,529619,208559,233708,213208,20501,1756867,67557,23810,236079,175979,1194702,25849,311499,309424,209787,17557,4891,77188,2076,5782881,1008073,,
1997:Q1,pct80to99,15117042,4528969,3555802,973167,10588073,1085692,291761,598924,444377,154547,177865,143652,34213,2468605,279508,323116,1025729,2492969,1717138,126766,2186761,2178526,1648416,396560,11451,122098,8236,12930280,19145300,,
1997:Q1,pct60to80,6625849,2542910,1940165,602745,4082938,511334,85006,149647,111200,38447,42645,21510,21135,602166,147236,170371,352190,1543826,401844,76674,1342234,1337924,948923,347843,5318,35839,4310,5283614,20149667,,
1997:Q1,pct40to60,4016436,1644102,1238219,405883,2372334,410862,41542,87828,65486,22341,56749,44431,12318,295125,75761,66499,147327,886043,254378,50221,732346,730169,457229,259397,4290,9254,2177,3284090,20153377,,
1997:Q1,pct20to40,2751584,1194916,923897,271019,1556668,370727,48158,77333,57012,20321,12200,5209,6991,202401,47596,14524,56934,526702,165838,34254,395151,393751,228980,149213,1506,14052,1399,2356434,20152893,,
1997:Q1,pct00to20,1310356,629728,494871,134857,680628,162410,16876,31032,21304,9728,12325,9633,2691,61341,18656,2671,19157,191199,147344,17617,168850,168297,80113,83604,994,3585,554,1141506,20146256,,
1997:Q2,pct99to100,6485205,1089432,826117,263315,5395773,361488,197682,734064,523803,210261,243003,223577,19427,2091269,66312,24531,253808,183455,1214265,25896,318702,316735,212860,18015,5422,80438,1967,6166503,1011054,,
