Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1998:Q3,pct00to20,1403146,682282,543531,138751,720864,183185,22367,49796,32416,17380,27240,26327,913,73131,19712,1379,14699,199386,111888,18081,182874,182346,86247,91628,636,3835,528,1220272,20501383,0,13854
1998:Q4,pct99to100,7793582,1214544,948896,265648,6579038,374298,294007,771818,563514,208304,299878,285244,14633,2864971,57596,26003,291230,226872,1346152,26213,370995,370347,241790,24634,6568,97355,648,7422587,1028525,,
1998:Q4,pct80to99,18507493,5114842,4054978,1059864,13392651,1179760,377654,633398,457106,176291,195486,165816,29670,3868608,351184,388388,1434978,2792695,2033948,136552,2486490,2477901,1864303,436850,17928,158820,8588,16021003,19542246,,
1998:Q4,pct60to80,7841785,2856793,2228955,627839,4984992,525024,126322,180557,126128,54430,35762,15031,20731,873365,167514,237147,548358,1790439,420591,79913,1535072,1530793,1067190,412622,7692,43289,4278,6306713,20567751,,
1998:Q4,pct40to60,4520690,1851305,1410915,440390,2669386,416651,53658,91202,76307,14895,60954,48882,12071,401151,90049,78411,213411,924826,287220,51853,852445,850077,536020,302416,3851,7790,2368,3668245,20571491,,
1998:Q4,pct20to40,3053862,1306211,1009439,296772,1747651,402428,60189,83609,57716,25893,16457,7850,8607,264498,47804,19327,59602,567234,192049,34453,431386,430148,251221,171125,2156,5646,1238,2622475,20573595,,
1998:Q4,pct00to20,1404038,682877,539626,143251,721161,183763,21765,43720,29085,14635,24178,22967,1211,88571,20580,1575,12524,199168,107609,17709,187297,186801,88066,93625,1130,3980,496,1216741,20560014,,
1999:Q1,pct99to100,7752754,1239370,969316,270054,6513384,371386,315788,741993,530382,211611,295825,280277,15548,2820844,60016,25653,304163,225417,1325619,26678,378684,377401,246622,26281,6344,98154,1283,7374069,1031330,,
1999:Q1,pct80to99,18803433,5201743,4129408,1072335,13601689,1168273,409115,652596,452803,199793,195769,164900,30870,3908210,352047,400279,1470991,2869827,2037151,137433,2536972,2527949,1911263,435786,16448,164452,9023,16266460,19598239,,
1999:Q1,pct60to80,7928893,2907647,2274360,633286,5021246,529667,128166,184115,122763,61352,35754,15382,20372,883406,172681,234633,565395,1794060,413223,80147,1541405,1536974,1080935,408358,7094,40586,4431,6387488,20627064,,
1999:Q1,pct40to60,4579223,1886839,1444047,442792,2692384,416454,56213,90901,69254,21647,62576,50860,11716,411399,92344,79666,219388,942184,270125,51135,861578,859215,544718,302667,3614,8215,2363,3717645,20629749,,
1999:Q1,pct20to40,3072698,1331202,1030925,300277,1741496,395036,60464,80171,52921,27250,17821,9164,8657,260981,49243,19452,62272,569387,192502,34168,436575,435304,254955,172039,2095,6214,1272,2636122,20633026,,
1999:Q1,pct00to20,1394340,683806,541281,142525,710534,183050,21262,39113,24473,14640,21355,19822,1533,93366,20596,1643,11594,198486,102759,17311,192189,191669,89144,97266,1274,3985,520,1202150,20618681,,
1999:Q2,pct99to100,8040087,1279418,995818,283600,6760669,365483,312309,714568,510490,204079,293576,277143,16433,3049946,64147,25568,323254,224429,1360191,27198,389022,387690,252227,29379,6721,99363,1331,7651066,1034149,,
1999:Q2,pct80to99,19477641,5361739,4277281,1084459,14115901,1150426,398320,636116,451544,184572,197488,165456,32032,4234335,356480,420486,1537605,2952619,2093453,138574,2624330,2615372,1965572,443827,16898,189075,8958,16853310,19654526,,
1999:Q2,pct60to80,8097339,2967702,2327030,640672,5129637,532726,125519,179349,123029,56320,36237,16267,19970,948240,178769,236248,595559,1800377,416059,80554,1563339,1558844,1099801,413557,7288,38198,4495,6534000,20686779,,
1999:Q2,pct40to60,4655016,1908396,1465523,442873,2746620,414730,56165,85232,64441,20791,63752,52484,11269,439717,95296,82844,230508,960640,267160,50575,878855,876468,556056,307432,3840,9140,2387,3776161,20688191,,
1999:Q2,pct20to40,3099219,1358574,1051209,307364,1740646,386812,58144,74010,49202,24808,18764,10153,8611,267688,50742,19971,66080,571704,192737,33993,446613,445326,259370,177289,2368,6299,1287,2652606,20692770,,
1999:Q2,pct00to20,1400749,692500,546623,145877,708249,182198,20968,35289,22292,12997,18748,16954,1794,103543,20959,1773,10511,197973,99317,16972,195904,195387,90666,100097,1641,2984,517,1204845,20677771,,
1999:Q3,pct99to100,7905920,1316478,1029056,287422,6589442,372474,325836,689690,490866,198824,301667,284338,17329,2812054,64400,24718,317853,222069,1430610,28072,401128,399768,260248,33377,5972,100170,1360,7504792,1037010,,
1999:Q3,pct80to99,19575757,5498929,4394278,1104650,14076828,1159884,416050,626944,448662,178282,207996,174781,33215,4060946,352750,416750,1488500,3020665,2184924,141419,2699418,2690543,2027308,455219,14062,193953,8876,16876338,19711473,,
1999:Q3,pct60to80,8130836,3036780,2386214,650565,5094056,542663,126186,176777,122678,54099,39945,20316,19629,917405,182849,225932,575368,1799042,425796,82091,1591155,1586598,1122713,422271,6125,35488,4557,6539681,20747266,,
1999:Q3,pct40to60,4710242,1951873,1502558,449315,2758369,419565,57900,81386,59945,21441,63686,52771,10915,435726,96785,80473,222025,976280,273468,51074,901224,898811,571810,314210,3245,9546,2413,3809017,20747255,,
1999:Q3,pct20to40,3119232,1396606,1084324,312283,1722625,382059,57761,69107,45754,23353,18299,9650,8649,257335,52130,19352,65343,573617,193071,34552,460161,458859,265216,184732,2022,6889,1302,2659070,20753198,,
1999:Q3,pct00to20,1402234,703206,556740,146466,699028,181925,20606,32094,20234,11860,17099,15001,2098,103847,20528,1723,10279,196970,96938,17018,201128,200615,93964,102086,1533,3032,512,1201107,20737668,,
1999:Q4,pct99to100,8682318,1358607,1058002,300606,7323710,391802,359616,650263,508966,141297,322246,304042,18204,3443491,76313,25443,350421,222727,1448670,32718,416827,415074,268720,38509,5860,101985,1753,8265491,1039945,,
1999:Q4,pct80to99,20855927,5626855,4511104,1115751,15229072,1195351,467260,550625,465192,85433,228959,194585,34374,4818855,373492,463400,1621237,3122504,2224946,162443,2798745,2789644,2072162,466196,13196,238091,9101,18057182,19769446,,
1999:Q4,pct60to80,8454476,3087293,2430004,657289,5367183,559210,130959,160587,135107,25480,47304,28037,19267,1065425,193078,240381,633843,1814757,425943,95697,1606089,1601415,1131399,430701,5772,33541,4674,6848388,20808892,,
1999:Q4,pct40to60,4864307,1984994,1535994,449000,2879313,430661,61837,67368,60498,6870,62226,51712,10513,492397,102712,89732,244215,998455,266799,62912,922061,919641,583522,322003,3127,10989,2420,3942246,20807377,,
1999:Q4,pct20to40,3169168,1416543,1097539,319005,1752624,380505,59713,57159,44511,12648,16123,7490,8633,279412,53887,21111,71655,576522,193568,42969,474264,472936,270461,193963,2023,6489,1328,2694904,20814683,,
1999:Q4,pct00to20,1429756,712805,563362,149443,716951,182175,20227,30527,23912,6615,16455,14090,2365,122524,22473,2053,8874,197057,93373,21212,203462,202937,97999,102249,1669,1019,525,1226295,20798760,,
2000:Q1,pct99to100,8894241,1415984,1106840,309144,7478257,403221,383290,590968,474592,116376,324157,305190,18967,3615902,80069,25390,366750,221723,1433263,33524,429599,428205,276675,41683,6213,103634,1393,8464642,1042984,,
2000:Q1,pct80to99,21535779,5841843,4705013,1136830,15693936,1213992,501562,516571,452170,64401,233583,198205,35378,5085352,377085,485732,1677235,3206400,2231479,164943,2869611,2860923,2107682,463439,13559,276243,8688,18666168,19828814,,
2000:Q1,pct60to80,8634748,3175346,2506520,668825,5459402,571610,133950,147303,128299,19004,48527,29821,18706,1119290,199058,242704,658930,1821181,419849,96999,1599631,1594953,1132822,424692,5934,31505,4678,7035116,20872028,,
2000:Q1,pct40to60,4939867,2013352,1558538,454814,2926515,437745,64733,59532,54524,5008,62659,52919,9741,517239,105553,93353,253409,1017216,251903,63172,933554,931089,592189,323306,3323,12271,2465,4006313,20868994,,
2000:Q1,pct20to40,3221300,1464293,1138306,325987,1757007,376752,60638,50323,40726,9597,16202,7956,8246,284678,55404,21713,74952,578946,194033,43365,481853,480522,275031,196997,2262,6231,1331,2739447,20877595,,
2000:Q1,pct00to20,1439648,727699,575380,152318,711949,182070,19934,24476,19564,4912,14267,11861,2406,131481,22751,2200,8032,196553,89014,21170,207966,207464,101813,103647,2004,0,502,1231682,20861432,,
2000:Q2,pct99to100,8729679,1482489,1162885,319604,7247190,404656,376898,570123,446863,123260,313778,294069,19709,3357391,80460,24827,365417,219613,1499549,34478,443328,441834,285289,46834,5719,103991,1495,8286351,1046157,,
2000:Q2,pct80to99,21688853,6081543,4925058,1156486,15607310,1211545,486314,515680,440319,75361,227605,191250,36355,4885850,373589,491012,1649860,3278653,2319053,168148,2922421,2913755,2166378,476861,11827,258689,8666,18766433,19889943,,
2000:Q2,pct60to80,8695444,3272498,2592526,679972,5422945,578789,131126,145539,123333,22205,45985,27832,18153,1083916,203304,236746,647959,1821439,429375,98767,1626025,1621272,1152327,435363,5215,28367,4753,7069419,20937043,,
2000:Q2,pct40to60,5000314,2058740,1599262,459478,2941574,439811,64375,57332,49694,7638,64340,55363,8977,511631,107129,93030,248578,1033778,257707,63863,956583,954096,607521,331519,2963,12092,2488,4043730,20932542,,
2000:Q2,pct20to40,3246822,1504626,1171202,333424,1742196,370375,58296,47923,37469,10453,17871,10014,7857,274549,56829,21514,74945,581061,194773,44060,498327,496978,280980,206529,2061,7409,1349,2748495,20942307,,
2000:Q2,pct00to20,1445693,744391,588646,155745,701302,181564,19736,21596,16513,5083,11264,8825,2439,130969,22341,2216,7740,195654,86937,21285,213270,212769,105601,104665,1942,561,501,1232424,20926070,,
2000:Q3,pct99to100,8778620,1529040,1207715,321325,7249580,406520,395144,550778,427097,123681,319859,299429,20430,3270609,82838,24612,371964,218098,1573686,35473,458734,457307,294246,53335,4741,104985,1427,8319886,1049496,,
2000:Q3,pct80to99,22096137,6273813,5096547,1177266,15822325,1209957,511581,511621,431822,79798,235503,198198,37304,4866457,374248,508064,1660560,3357952,2414848,171533,3005952,2997450,2225016,495691,9197,267547,8501,19090186,19953200,,
2000:Q3,pct60to80,8824982,3365368,2675615,689753,5459613,586248,133256,144184,120737,23447,48344,30735,17609,1082794,208631,236412,653372,1825108,440614,100651,1657680,1652878,1171366,451669,4101,25742,4802,7167301,21004304,,
2000:Q3,pct40to60,5089095,2106373,1639586,466787,2982722,442112,66711,55333,46050,9283,64296,56077,8219,517258,109474,95411,250146,1051759,265566,64656,983124,980605,623108,342545,2344,12608,2519,4105971,20998458,,
2000:Q3,pct20to40,3292398,1555748,1218147,337601,1736650,364088,58742,45337,34793,10544,17375,9910,7464,270520,58329,21863,76400,583427,195742,44827,517274,515912,287071,219285,1646,7911,1361,2775124,21009190,,
2000:Q3,pct00to20,1456312,759177,603733,155443,697136,181087,19513,19599,14693,4905,9537,7074,2463,133893,22332,2322,7232,194977,85207,21437,216733,216241,109640,104547,1644,411,492,1239579,20993061,,
2000:Q4,pct99to100,8445927,1586811,1249496,337315,6859116,428721,425994,594315,459272,135043,347604,326467,21137,2741050,82951,23756,359459,215292,1603909,36065,472945,471112,300704,60136,5698,104575,1832,7972982,1053031,,
2000:Q4,pct80to99,22003483,6517988,5326385,1191603,15485495,1251002,557326,555434,458888,96547,261565,223331,38234,4341931,370132,502938,1581764,3423806,2466637,172960,3041125,3032390,2278799,517704,10866,225021,8735,18962358,20018952,,
2000:Q4,pct60to80,8819787,3447206,2748171,699036,5372581,604582,137996,165431,137052,28379,57006,39926,17080,982510,212809,225574,620301,1821585,443555,101232,1690631,1685706,1187704,471213,4827,21963,4924,7129156,21074182,,
2000:Q4,pct40to60,5093810,2124197,1656700,467497,2969614,454675,70462,61396,48404,12993,62330,54847,7483,486353,110975,92713,236768,1067209,262515,64217,1006345,1003817,634570,354588,2886,11773,2528,4087465,21067179,,
2000:Q4,pct20to40,3302734,1587768,1241679,346088,1714967,362870,60632,46692,34701,11991,14229,7144,7085,248545,59773,21184,74265,585432,196605,44741,538055,536666,291731,233059,2152,9724,1389,2764679,21078615,,
2000:Q4,pct00to20,1461251,771883,611665,160217,689368,181408,19308,24838,19532,5305,9379,6891,2488,125731,21857,2258,7252,193838,82362,21137,221982,221476,111719,104567,2236,2954,505,1239270,21062790,,
2001:Q1,pct99to100,8146372,1677058,1328252,348806,6469314,472420,471431,551130,391348,159782,335251,313269,21981,2327977,86072,23012,333502,213704,1617882,36933,479407,477977,306800,62921,3594,104662,1430,7666964,1056791,,
2001:Q1,pct80to99,22078399,6895312,5689462,1205850,15183088,1336660,626728,548072,413664,134408,253639,214276,39363,3922358,372315,501398,1440846,3503516,2501858,175698,3057226,3048939,2328338,518449,6287,195866,8287,19021173,20087566,,
2001:Q1,pct60to80,8850043,3593346,2886140,707206,5256698,634169,145705,155290,115635,39655,53926,37136,16790,900610,218611,216531,560764,1824981,443431,102680,1695069,1690144,1200545,468307,2849,18444,4925,7154974,21147046,,
2001:Q1,pct40to60,5128143,2166514,1697280,469233,2961629,477880,75843,60575,39743,20832,64523,57376,7147,459661,113636,90858,213150,1085415,255502,64584,1016184,1013608,644383,356241,1681,11302,2576,4111959,21139142,,
2001:Q1,pct20to40,3356347,1651963,1299220,352743,1704384,366648,64156,45585,30079,15506,16517,9417,7099,229378,61326,20676,69555,587913,197417,45213,545718,544327,296001,235863,1234,11228,1392,2810628,21150954,,
2001:Q1,pct00to20,1470992,800291,637380,162911,670701,182410,19112,18281,11788,6493,6692,3946,2746,119002,21992,2223,7575,193151,79132,21131,228159,227678,113558,107942,1359,4820,480,1242834,21135644,,
2001:Q2,pct99to100,8454173,1731992,1376473,355519,6722181,480907,472824,519956,360768,159188,336495,313683,22812,2538624,92815,22820,349787,206648,1662785,38520,490197,488897,315006,65892,2344,105655,1300,7963975,1060809,,
2001:Q2,pct80to99,22804673,7086844,5868369,1218475,15717829,1348587,624007,529462,392306,137157,257106,216632,40474,4232682,382080,518935,1499215,3575502,2568378,181876,3156454,3148384,2411972,528740,3848,203825,8069,19648219,20159409,,
2001:Q2,pct60to80,9078863,3678947,2965656,713291,5399916,645387,144723,148244,107872,40371,54792,38306,16486,964262,226360,216374,586528,1857463,449376,106407,1736566,1731598,1238853,475258,1766,15721,4968,7342297,21223264,,
2001:Q2,pct40to60,5244272,2204012,1732725,471287,3040260,483560,76377,57750,35511,22239,65409,58632,6777,488623,117691,93328,222692,1111503,256248,67080,1041667,1039056,665159,361047,1049,11801,2612,4202604,21214783,,
2001:Q2,pct20to40,3409933,1691870,1334743,357127,1718063,361761,62855,42675,27285,15390,17067,9992,7076,237993,63007,21044,72806,593159,198535,47161,557633,556231,302742,240944,776,11769,1403,2852300,21226578,,
2001:Q2,pct00to20,1484349,810494,647398,163096,673855,182186,18988,15392,9184,6207,4989,2011,2978,128714,22862,2331,6854,192796,76842,21901,234743,234274,116287,112368,897,4723,468,1249606,21212008,,
2001:Q3,pct99to100,8035790,1780667,1422182,358485,6255122,495309,496502,547016,385683,161333,381089,357442,23647,1972194,89609,22161,321399,198156,1691317,40371,512954,511260,328155,71117,3817,108171,1693,7522836,1065113,514258,2083779989
2001:Q3,pct80to99,22411220,7246361,6012263,1234098,15164858,1372687,657517,560127,416266,143861,296971,255379,41591,3595721,370930,519951,1349614,3633856,2618195,189290,3300716,3292423,2482650,535668,6206,267899,8293,19110503,20234848,82281,514258
2001:Q3,pct60to80,9057629,3775424,3055168,720256,5282205,659763,148219,162606,120326,42280,68164,51969,16195,836428,228939,208587,523562,1882781,452207,110949,1765237,1760146,1264198,478799,2829,14320,5091,7292391,21303205,51426,82281
2001:Q3,pct40to60,5261576,2258189,1782442,475747,3003387,492185,79385,61490,37118,24373,62842,56423,6419,441144,117991,92062,197837,1135160,252961,70330,1072820,1070197,687963,366694,1771,13768,2623,4188756,21294539,30855,51426
2001:Q3,pct20to40,3419775,1732247,1371617,360630,1687528,358203,64027,42956,27273,15683,12531,5471,7060,209908,64401,20656,67561,598057,199596,49632,573792,572362,311294,248810,1398,10860,1431,2845983,21305860,16816,30855
2001:Q3,pct00to20,1483374,821769,659625,162144,661605,182158,18859,18354,12265,6089,6155,2944,3211,115855,21697,2315,7167,191950,74149,22946,240356,239875,123292,113263,1645,1675,481,1243018,21292270,0,16816
2001:Q4,pct99to100,8518557,1868155,1493787,374368,6650402,509254,501591,527320,364841,162480,354452,330487,23965,2377026,102046,22701,335757,199911,1678528,41814,510869,509206,333840,68632,892,105842,1663,8007688,1069722,,
2001:Q4,pct80to99,23080087,7411003,6169761,1241243,15669084,1402582,707345,536764,390765,145999,277555,235925,41630,3985868,386362,523275,1445621,3653956,2558335,191422,3317807,3309539,2536459,562871,1293,208915,8268,19762281,20314102,,
2001:Q4,pct60to80,9373765,3841855,3106881,734974,5531910,689445,157637,151729,108604,43125,65360,49144,16216,919775,228103,221043,549011,1972579,464758,112471,1823581,1818593,1299943,505171,636,12842,4988,7550183,21387085,,
2001:Q4,pct40to60,5378472,2302163,1815910,486253,3076309,489084,86665,59681,35301,24380,65498,58317,7181,479118,119097,93974,205645,1157850,248156,71539,1099779,1097159,702748,380325,333,13752,2620,4278693,21378670,,
2001:Q4,pct20to40,3475890,1753384,1392624,360760,1722506,370360,65095,40352,25340,15012,16193,8888,7305,222827,63608,21008,68641,597591,206677,50153,591411,590012,320408,257454,249,11901,1400,2884478,21389021,,
2001:Q4,pct00to20,1514254,838191,671489,166702,676063,181554,19942,13696,7758,5938,5865,2754,3111,126465,25102,2427,7426,186574,83385,23627,242111,241585,118387,117373,284,5542,525,1272143,21376651,,
2002:Q1,pct99to100,8701400,1956473,1565638,390835,6744928,526553,473314,519954,362416,157538,343161,318825,24337,2450837,113588,22803,347301,199800,1704349,43269,524652,522781,352357,65141,262,105021,1870,8176748,1074597,,
2002:Q1,pct80to99,23291272,7575598,6335159,1240438,15715674,1439523,701084,519985,381185,138800,271256,229516,41740,3959395,399813,510776,1528534,3654229,2537540,193539,3357699,3349255,2583273,559011,359,206613,8443,19933574,20396793,,
2002:Q1,pct60to80,9603986,3918498,3173383,745114,5685488,720865,160029,145382,104235,41147,67322,51022,16300,918341,226749,226338,568786,2052741,484952,113984,1840681,1835761,1323685,499184,185,12707,4920,7763305,21474503,,
2002:Q1,pct40to60,5474806,2363370,1870738,492632,3111437,487860,89935,57927,35325,22602,67075,59017,8058,482696,119838,92331,211246,1176964,252830,72734,1131022,1128416,729892,383180,86,15259,2606,4343785,21466728,,
2002:Q1,pct20to40,3495131,1760149,1400754,359394,1734982,383343,62484,37863,24326,13537,18207,10544,7663,219056,62785,20642,69169,596567,214205,50659,606234,604858,335439,257894,63,11462,1376,2888897,21475684,,
2002:Q1,pct00to20,1535899,852029,682149,169880,683870,181160,20998,10925,5450,5476,6718,3640,3079,126982,28328,2421,7753,180476,93804,24305,250366,249785,124164,119106,68,6446,581,1285532,21464724,,
2002:Q2,pct99to100,8544022,2048544,1640385,408158,6495479,522578,439362,557373,371537,185836,321563,296898,24665,2207208,121863,22835,319693,199100,1738655,45249,537943,536095,371535,63481,-2830,103910,1848,8006079,1079686,,
2002:Q2,pct80to99,22928757,7731638,6488311,1243327,15197119,1432275,683717,567242,381662,185580,256302,214519,41783,3556580,406308,495692,1427606,3648301,2524977,198117,3407859,3399432,2648417,569465,-3602,185152,8426,19520898,20482396,,
2002:Q2,pct60to80,9676624,3988525,3230924,757601,5688099,740747,160763,159562,104072,55490,66375,50056,16319,840573,223628,230476,511460,2130468,506918,117130,1884339,1879522,1361206,508144,-1961,12133,4817,7792285,21564908,,
2002:Q2,pct40to60,5525037,2436782,1936110,500672,3088255,476419,92182,67840,36509,31331,69633,60810,8823,455509,119314,90107,187115,1195128,259547,75460,1172697,1170094,762291,392237,-784,16350,2603,4352341,21558090,,
2002:Q2,pct20to40,3483898,1756469,1397340,359130,1727428,391186,59207,40663,23886,16777,21486,13582,7904,201016,61857,20159,62357,595385,221890,52223,628187,626842,351549,264303,-551,11541,1345,2855711,21565324,,
2002:Q2,pct00to20,1548477,863661,689561,174100,684817,180166,21967,11017,4195,6822,6858,3885,2972,118438,30894,2396,8877,174111,104548,25545,258556,257930,130042,120016,-561,8434,626,1289921,21555898,,
2002:Q3,pct99to100,8191699,2136056,1721869,414187,6055643,543968,413521,573897,370597,203299,313487,288440,25047,1740034,127699,22917,288948,198380,1785720,47072,550393,548146,388301,60296,-3465,103014,2247,7641306,1084936,,
2002:Q3,pct80to99,22305136,7848385,6592573,1255812,14456751,1477902,678018,593222,374258,218964,253119,211221,41898,2884636,407585,482221,1310944,3642236,2524997,201871,3481910,3473147,2725793,581074,-4251,170530,8764,18823226,20570385,,
2002:Q3,pct60to80,9714686,4071977,3298906,773072,5642709,774326,162780,166592,100741,65851,69923,53518,16405,705530,219171,235434,448808,2208923,531494,119729,1941795,1937018,1409458,518230,-2394,11724,4777,7772891,21657744,,
2002:Q3,pct40to60,5576737,2528471,2012320,516150,3048266,477601,95073,74173,36642,37531,71122,61408,9713,402573,117837,88255,161094,1213499,269369,77670,1214663,1212084,795041,400224,-865,17684,2579,4362074,21652131,,
2002:Q3,pct20to40,3487740,1775874,1419443,356431,1711866,405220,56796,41685,23056,18629,23271,15006,8265,171850,60848,19751,55031,594220,229771,53424,647527,646201,367056,268312,-604,11436,1327,2840213,21657415,,
2002:Q3,pct00to20,1558095,879030,703897,175133,679065,180089,22883,9989,2342,7647,8111,5175,2937,102669,32969,2384,9948,167684,115742,26598,267206,266514,133510,123473,-569,10100,692,1290889,21649582,,
2002:Q4,pct99to100,8438725,2217995,1796709,421286,6220730,549266,419909,576689,344073,232616,301274,275846,25428,1933914,134265,23813,298902,199211,1733935,49551,562824,560543,405871,58103,-5691,102260,2281,7875901,1090297,,
2002:Q4,pct80to99,22647351,7970277,6707719,1262558,14677073,1490097,725081,632803,346263,286540,246662,204657,42005,3005483,410290,496433,1384992,3652780,2423743,208709,3570445,3561651,2803685,596136,-6678,168508,8794,19076906,20660233,,
2002:Q4,pct60to80,10002201,4154414,3368983,785431,5847786,798997,171831,176515,89793,86722,72610,56128,16482,735766,215033,253941,465198,2296553,536965,124378,2001826,1997144,1457520,531922,-3895,11597,4681,8000375,21752459,,
2002:Q4,pct40to60,5706280,2607907,2079365,528542,3098373,471087,101940,84929,34119,50810,73112,62516,10596,420712,116605,92732,165444,1235235,254771,81806,1259580,1257006,828679,410218,-1256,19365,2574,4446700,21748227,,
2002:Q4,pct20to40,3536381,1796773,1443882,352891,1739608,415284,57990,44180,21184,22996,25663,17050,8613,174354,59853,20617,55325,593596,236792,55956,669028,667731,382979,274637,-847,10962,1297,2867353,21751431,,
2002:Q4,pct00to20,1586419,894616,719141,175475,691803,179541,23943,9438,0,9438,9184,6294,2890,107231,35199,2587,10327,161788,124207,28358,274671,273930,137579,125991,-730,11090,741,1311748,21745184,,
2003:Q1,pct99to100,8499796,2304577,1865408,439169,6195219,584022,388753,561941,339865,222076,301092,275350,25742,1856053,143683,24346,297293,197637,1789003,51397,573446,570444,421743,52762,-5612,101551,3001,7926351,1095715,,
2003:Q1,pct80to99,22649799,8131748,6875209,1256538,14518052,1563767,707597,593552,337046,256506,250911,208888,42023,2799747,418856,497871,1404391,3637798,2431111,212452,3649798,3640399,2871363,594002,-6448,181481,9399,19000001,20751416,,
2003:Q1,pct60to80,10188149,4234135,3441265,792869,5954015,840225,172017,164009,86267,77742,79552,63082,16470,697601,212319,266559,459250,2372134,563377,126971,2038613,2033927,1498300,527676,-3847,11798,4686,8149536,21848498,,
2003:Q1,pct40to60,5780586,2662461,2130314,532147,3118125,479025,103647,77947,33875,44072,73494,62181,11313,409136,116418,94334,161253,1252341,266521,84008,1292209,1289674,857733,411683,-1148,21406,2535,4488377,21845754,,
2003:Q1,pct20to40,3544171,1798940,1448142,350798,1745231,432814,54944,40023,20329,19693,26245,17450,8795,163693,58935,20902,53484,592152,244895,57144,680209,678921,397650,272011,-780,10041,1288,2863962,21846847,,
2003:Q1,pct00to20,1608400,908995,730933,178061,699405,180064,24741,8307,0,8307,11225,8482,2743,103329,38016,2694,10886,154920,135809,29414,282887,282064,140452,130988,-606,11231,823,1325513,21842113,,
2003:Q2,pct99to100,9208783,2393744,1941520,452224,6815038,596470,363775,548102,332112,215990,342758,316644,26114,2350461,156837,25293,326288,197259,1854660,53134,593686,590471,443814,49750,-4899,101806,3214,8615097,1101139,,
2003:Q2,pct80to99,23482200,8280126,7020785,1259341,15202074,1591095,698930,565942,325314,240627,291939,249825,42114,3236167,435128,513358,1569386,3635657,2448853,215621,3853129,3843549,2974312,605105,-5547,269679,9580,19629071,20843408,,
2003:Q2,pct60to80,10604160,4326244,3521914,804329,6277916,868990,173193,155054,81977,73077,100568,84039,16530,793707,211485,286422,512351,2454973,591989,129184,2115546,2110932,1563369,537230,-3370,13703,4615,8488614,21945309,,
2003:Q2,pct40to60,5960604,2745792,2204542,541250,3214812,476258,105846,73628,33249,40379,68097,55923,12174,455784,117608,99222,179581,1272066,280870,85852,1348680,1346160,902511,419513,-943,25079,2520,4611924,21944088,,
2003:Q2,pct20to40,3581410,1809571,1460866,348705,1771839,444775,52562,36976,19374,17602,20643,11530,9113,177332,58121,21844,57234,591108,253164,58081,700468,699206,416874,275940,-652,7044,1263,2880942,21943135,,
2003:Q2,pct00to20,1654429,926521,746313,180208,727908,179891,25505,7616,0,7616,16780,14106,2674,116029,41600,2915,10982,148447,147802,30340,289419,288537,147501,134391,-455,7099,881,1365010,21939780,,
2003:Q3,pct99to100,9577215,2483192,2025106,458086,7094023,593035,333784,559816,365066,194750,334570,308225,26345,2588269,168493,25973,331053,196126,1907481,55423,612627,609361,468054,48310,-7380,100377,3267,8964587,1106518,,
2003:Q3,pct80to99,23767582,8417122,7146319,1270804,15350459,1585447,679739,545307,347004,198302,290194,248170,42023,3362658,448160,519355,1619490,3625587,2453132,221392,3928122,3918496,3065866,616653,-8085,244062,9626,19839460,20935682,,
2003:Q3,pct60to80,10882215,4424020,3604875,819144,6458195,888538,172599,149657,89374,60283,106194,89788,16406,824802,209796,301910,518629,2534689,618253,133128,2177388,2172868,1617641,547253,-5038,13012,4519,8704827,22042338,,
2003:Q3,pct40to60,6097637,2841405,2285129,556276,3256232,465989,106923,68557,36838,31719,68625,55944,12681,474097,118195,101966,180022,1290476,292057,89325,1403213,1400699,946432,429244,-1278,26301,2514,4694424,22042605,,
2003:Q3,pct20to40,3615160,1831382,1485705,345677,1783778,452625,49566,33880,20139,13741,21866,12777,9089,178395,57249,22354,56542,589780,261378,60142,727045,725812,436573,282948,-851,7142,1233,2888115,22039770,,
2003:Q3,pct00to20,1688746,945601,764746,180855,743145,179215,26126,6185,0,6185,18535,16131,2404,120670,44886,3064,11459,141620,159520,31866,301887,300955,156780,135267,-508,9416,932,1386859,22037591,,
2003:Q4,pct99to100,10237816,2575341,2107379,467962,7662475,601046,308611,616557,405922,210635,322837,296181,26656,3047201,179796,26992,357282,195631,1948714,57809,638817,635554,485223,45681,5673,98977,3263,9599000,1111798,,
2003:Q4,pct80to99,24503313,8574909,7294800,1280108,15928404,1603786,667109,600337,373675,226663,285894,243856,42038,3705841,460360,537037,1772758,3622414,2445276,227591,3998997,3989372,3149758,631323,6634,201657,9625,20504316,21027714,,
2003:Q4,pct60to80,11287807,4525394,3691767,833627,6762412,914563,172713,168066,98911,69155,111459,95072,16387,899236,207849,323595,566551,2618598,642423,137359,2251126,2246712,1670221,560482,4048,11960,4414,9036680,22139032,,
